Reaction ID,E-zyme1,E-zyme2
R10124,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;2.1.3;1.2.4;1.8.1;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,2.3.1.47;2.3.1.179|2.3.1.180|2.3.1.181|2.3.1.41|2.3.1.85|2.3.1.86|3.1.2.-;2.3.1.179|2.3.1.180|2.3.1.41|2.3.1.85|2.3.1.86;2.3.1.47|6.2.1.14;2.3.1.179|2.3.1.180|2.3.1.41|2.3.1.85|2.3.1.86|3.1.2.-;2.3.1.-|2.3.1.179|2.3.1.180|2.3.1.41|2.3.1.85|2.3.1.86|3.1.2.14|3.1.2.21;2.3.1.16;2.3.1.16;2.3.1.129|2.3.1.191;3.1.2.-|3.1.2.14;2.3.1.16;2.3.1.-|2.3.1.179|2.3.1.180|2.3.1.41|2.3.1.85|2.3.1.86|3.1.2.14;2.3.1.16;2.3.1.181;1.2.1.31;3.1.2.14;2.3.1.155|2.3.1.16;2.3.1.179|2.3.1.180|2.3.1.184|2.3.1.41|2.3.1.85|2.3.1.86;2.3.1.15|2.3.1.184|2.3.1.40|2.3.1.51|6.2.1.20;2.3.1.179|2.3.1.199|2.3.1.41|2.3.1.85|3.1.2.14;2.3.1.179|2.3.1.41;3.1.2.2;2.3.1.16;1.2.4.2|1.8.1.4|2.3.1.-|2.3.1.61;3.1.2.2;2.3.-.-|2.3.1.199|2.3.1.21|2.3.1.50|2.3.1.76|3.1.2.2|3.1.2.22|6.2.1.3;3.1.2.14;6.2.1.-;6.2.1.39;3.1.2.2;3.1.2.2;2.3.2.19;3.1.2.2
R04707,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.14.99;1.14.13;1.2.7;1.5.99;3.7.1,2.-.-.-|2.1.1.-|2.1.1.1|2.1.1.10|2.1.1.101|2.1.1.102|2.1.1.103|2.1.1.104|2.1.1.107|2.1.1.11|2.1.1.111|2.1.1.114|2.1.1.115|2.1.1.116|2.1.1.117|2.1.1.118|2.1.1.12|2.1.1.122|2.1.1.128|2.1.1.130|2.1.1.131|2.1.1.132|2.1.1.133|2.1.1.140|2.1.1.141|2.1.1.143|2.1.1.146|2.1.1.150|2.1.1.151|2.1.1.152|2.1.1.156|2.1.1.157|2.1.1.158|2.1.1.159|2.1.1.16|2.1.1.160|2.1.1.161|2.1.1.162|2.1.1.163|2.1.1.17|2.1.1.171|2.1.1.172|2.1.1.173|2.1.1.174|2.1.1.181|2.1.1.187|2.1.1.188|2.1.1.195|2.1.1.196|2.1.1.197|2.1.1.2|2.1.1.20|2.1.1.201|2.1.1.210|2.1.1.212|2.1.1.222|2.1.1.234|2.1.1.235|2.1.1.239|2.1.1.240|2.1.1.241|2.1.1.254|2.1.1.267|2.1.1.271|2.1.1.28|2.1.1.37|2.1.1.38|2.1.1.4|2.1.1.41|2.1.1.43|2.1.1.49|2.1.1.53|2.1.1.59|2.1.1.6|2.1.1.60|2.1.1.64|2.1.1.67|2.1.1.68|2.1.1.71|2.1.1.76|2.1.1.8|2.1.1.95|2.1.1.96|2.1.1.98;2.5.1.16|2.5.1.22;2.3.1.184|4.4.1.14
R10813,No EC Prediction,2.7.8.37;2.7.7.43;2.7.7.43;2.7.7.81;2.4.2.10|2.4.2.12|2.4.2.14|2.4.2.17|2.4.2.18|2.4.2.19|2.4.2.22|2.4.2.45|2.4.2.49|2.4.2.7|2.4.2.8|2.4.2.9|6.3.4.21;3.6.1.9;3.6.1.63;3.6.1.-|3.6.1.13|3.6.1.21|3.6.1.53;3.6.1.31;3.6.1.65|3.6.1.8|6.3.2.5;3.6.1.19|3.6.1.8;2.7.6.1|2.7.6.2|2.7.6.3|2.7.6.5|2.7.9.1|2.7.9.2|2.7.9.3|3.6.1.8;3.6.1.19;3.6.1.19|3.6.1.8;3.6.1.19|3.6.1.8;3.6.1.19;3.6.1.12|3.6.1.65;3.6.1.19|3.6.1.23;3.6.1.22|3.6.1.9;2.7.7.1|2.7.7.18|3.6.1.22|3.6.1.9;3.6.1.22|3.6.1.9;2.7.7.1|2.7.7.18|3.6.1.22|3.6.1.9;3.6.1.19;3.-.-.-;3.6.1.19;2.7.7.33;2.7.7.12|2.7.7.9|3.6.1.45|3.6.1.8|3.6.1.9;3.6.1.17;2.7.7.69;2.7.7.13;2.7.7.23;2.7.7.44|2.7.7.64;2.7.7.27;2.7.7.30;2.7.7.71;2.7.7.70;2.7.7.64;3.6.1.17;3.6.1.17|3.6.1.61;3.6.1.17;3.6.1.29;2.7.7.75;2.7.7.14;2.7.7.39|3.6.1.16;2.7.7.60;2.7.7.14;2.7.7.15;2.7.7.41|3.6.1.26;2.7.7.53|3.6.1.17|3.6.1.61;2.4.1.22|2.4.1.234|2.4.1.241|2.4.1.274|2.4.1.44|2.4.1.46|2.4.1.47|2.4.1.50;2.4.1.-|2.4.1.11|2.4.1.111|2.4.1.115|2.4.1.117|2.4.1.12|2.4.1.120|2.4.1.126|2.4.1.13|2.4.1.14|2.4.1.15|2.4.1.157|2.4.1.170|2.4.1.178|2.4.1.195|2.4.1.202|2.4.1.203|2.4.1.208|2.4.1.215|2.4.1.238|2.4.1.249|2.4.1.263|2.4.1.276|2.4.1.284|2.4.1.297|2.4.1.298|2.4.1.34|2.4.1.58|2.4.1.63|2.4.1.66|2.4.1.80|2.4.1.85|2.4.1.91;nan;2.7.7.8;2.4.1.-|2.4.1.236;2.4.1.21|2.4.1.245;2.7.7.69|2.7.7.8;2.4.1.-|2.4.1.217|2.4.1.246|2.4.1.251|2.4.1.252|2.4.1.83;2.7.7.53|2.7.7.8;2.7.7.15;2.7.7.14|2.7.7.15|2.7.7.33|2.7.7.38|2.7.7.39|2.7.7.41|2.7.7.43|2.7.7.48|2.7.7.6|2.7.7.60|2.7.7.72|2.7.7.81|3.6.1.65|3.6.1.8|6.3.2.5;2.7.7.23|2.7.7.44|2.7.7.48|2.7.7.52|2.7.7.6|2.7.7.64|2.7.7.9|3.6.1.19|3.6.1.8;nan;2.7.7.3|3.6.1.9;2.7.7.13|2.7.7.30|2.7.7.48|2.7.7.6|2.7.7.62|2.7.7.65|2.7.7.71|4.1.99.18|4.6.1.1|4.6.1.2;1.2.1.31|2.7.7.1|2.7.7.18|2.7.7.19|2.7.7.2|2.7.7.27|2.7.7.3|2.7.7.4|2.7.7.48|2.7.7.6|2.7.7.63|2.7.7.70|2.7.7.72|2.7.7.73|2.7.7.75|3.6.1.8|4.6.1.1|6.1.1.1|6.1.1.10|6.1.1.11|6.1.1.12|6.1.1.13|6.1.1.14|6.1.1.15|6.1.1.16|6.1.1.17|6.1.1.18|6.1.1.19|6.1.1.2|6.1.1.20|6.1.1.21|6.1.1.22|6.1.1.23|6.1.1.24|6.1.1.26|6.1.1.27|6.1.1.3|6.1.1.4|6.1.1.5|6.1.1.6|6.1.1.7|6.1.1.9|6.2.1.-|6.2.1.1|6.2.1.11|6.2.1.12|6.2.1.14|6.2.1.16|6.2.1.17|6.2.1.2|6.2.1.20|6.2.1.25|6.2.1.26|6.2.1.27|6.2.1.28|6.2.1.3|6.2.1.30|6.2.1.31|6.2.1.32|6.2.1.33|6.2.1.36|6.2.1.7|6.3.1.1|6.3.1.5|6.3.2.1|6.3.2.11|6.3.2.26|6.3.2.36|6.3.2.38|6.3.2.39|6.3.2.5|6.3.3.4|6.3.4.10|6.3.4.11|6.3.4.15|6.3.4.19|6.3.4.5|6.3.4.9|6.3.5.-|6.3.5.1|6.3.5.2|6.3.5.4;nan;2.4.1.17|2.4.1.226|2.4.1.254|2.4.1.264|3.2.1.-;2.4.1.43;2.4.99.12|2.4.99.13|2.4.99.14;2.4.1.175|2.4.1.290;2.4.1.16|2.4.1.227|2.4.1.283|2.4.1.285|2.4.1.56|3.2.1.183|5.1.3.14;2.7.7.24;2.4.1.64|2.4.1.8;2.4.1.1|2.4.1.20|2.4.1.7;2.4.2.24|2.4.2.40|2.4.2.51;2.7.1.105|3.1.3.46;2.7.7.2|3.6.1.18|3.6.1.9;2.4.2.-|2.4.2.1|2.4.2.15|2.4.2.2|2.4.2.3;2.4.2.28;2.4.2.4;2.4.2.53;nan;nan;3.6.1.41;2.4.99.18;3.6.1.57;3.6.1.12;3.6.1.54;2.4.1.-;nan;2.4.1.-;2.4.1.-;2.7.7.7|3.5.4.30|3.6.1.12|3.6.1.65;2.7.7.24|2.7.7.7;2.7.7.7;2.7.7.7;2.4.2.27;2.4.1.-;2.4.1.277|2.4.1.278;2.4.1.-;nan;2.4.1.-;2.4.1.-;nan;2.7.1.151;2.7.4.14|2.7.4.25|3.6.1.5;2.7.8.31|3.6.1.45|3.6.1.8|3.6.1.9;2.4.2.1|2.4.2.2|2.4.2.23|2.4.2.4;2.7.4.14|2.7.4.22|2.7.4.4|3.6.1.5|3.6.1.6;3.6.1.5|3.6.1.6|3.6.1.64;2.7.1.146|2.7.1.147|2.7.4.10|2.7.4.3|3.6.1.5;2.7.4.8|3.6.1.42|3.6.1.5|3.6.1.6;4.6.1.12;2.4.1.182;2.7.8.15|2.7.8.33;2.7.4.14|2.7.4.25|3.6.1.12;2.7.4.4|2.7.4.9;2.7.4.12|2.7.4.9|3.6.1.5;3.6.1.64;2.7.4.11|2.7.4.3;2.7.4.12|2.7.4.8;2.7.8.1;4.2.3.5
R04994,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.14.99;1.14.13;1.2.7;1.5.99;3.7.1,2.1.1.163;2.1.1.-;4.1.99.1|4.2.1.122|4.2.1.20;2.1.1.-;2.5.1.106;4.1.2.8|4.2.1.20;2.1.1.-;1.14.13.1|1.14.13.135;2.1.1.-;4.2.1.20;1.14.21.-;2.1.1.95;2.1.1.95;2.1.1.151;2.4.1.-;1.14.13.81
R09509,6.4.1;2.1.3;6.3.4;4.3.99;4.1.1,6.3.4.14|6.4.1.2
R05300,5.5.1;5.3.3,5.5.1.1;5.5.1.7;5.5.1.1;5.5.1.1;5.5.1.1;5.5.1.7;5.5.1.2;5.5.1.5;5.5.1.7
R09895,No EC Prediction,4.2.3.6;4.2.3.69;4.2.3.37;4.2.3.119;4.2.3.9;4.2.3.61;4.2.3.39;4.2.3.17;4.1.99.16|4.2.3.22;4.2.3.73;4.2.3.7;4.2.3.10;4.2.3.21;4.2.3.120;4.2.3.70;4.2.3.50;4.2.3.43;4.2.3.57;4.2.3.58;4.2.3.76;4.2.3.-|4.2.3.104;4.2.3.8;4.2.3.24;4.2.3.56;4.2.3.13;4.2.3.67;3.1.7.10;5.5.1.13;5.5.1.12;5.5.1.14;4.2.3.22;5.5.1.8;4.2.3.20;4.2.3.16;5.4.99.31;5.4.99.52;4.2.3.59;4.2.3.108;5.4.99.54;4.2.3.55;5.4.99.7;4.2.1.124;5.4.99.56;5.4.99.33;4.2.3.40;4.2.3.38;5.4.99.32;4.2.1.125;5.4.99.57;5.4.99.8;5.4.99.37;4.2.3.75;5.5.1.19;4.2.3.130
R02969,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-.-|1.1.1.-|1.1.1.1|1.1.1.103|1.1.1.105|1.1.1.11|1.1.1.121|1.1.1.122|1.1.1.125|1.1.1.127|1.1.1.130|1.1.1.132|1.1.1.136|1.1.1.137|1.1.1.14|1.1.1.140|1.1.1.144|1.1.1.145|1.1.1.149|1.1.1.15|1.1.1.152|1.1.1.154|1.1.1.157|1.1.1.17|1.1.1.175|1.1.1.178|1.1.1.18|1.1.1.181|1.1.1.187|1.1.1.202|1.1.1.205|1.1.1.209|1.1.1.21|1.1.1.211|1.1.1.213|1.1.1.218|1.1.1.22|1.1.1.223|1.1.1.23|1.1.1.239|1.1.1.24|1.1.1.244|1.1.1.245|1.1.1.251|1.1.1.256|1.1.1.26|1.1.1.261|1.1.1.262|1.1.1.27|1.1.1.272|1.1.1.275|1.1.1.28|1.1.1.281|1.1.1.282|1.1.1.284|1.1.1.286|1.1.1.288|1.1.1.29|1.1.1.290|1.1.1.294|1.1.1.295|1.1.1.299|1.1.1.3|1.1.1.30|1.1.1.302|1.1.1.303|1.1.1.305|1.1.1.306|1.1.1.309|1.1.1.31|1.1.1.310|1.1.1.311|1.1.1.312|1.1.1.315|1.1.1.316|1.1.1.329|1.1.1.335|1.1.1.336|1.1.1.337|1.1.1.35|1.1.1.350|1.1.1.37|1.1.1.38|1.1.1.39|1.1.1.4|1.1.1.41|1.1.1.43|1.1.1.45|1.1.1.46|1.1.1.47|1.1.1.48|1.1.1.50|1.1.1.51|1.1.1.53|1.1.1.56|1.1.1.57|1.1.1.58|1.1.1.6|1.1.1.60|1.1.1.61|1.1.1.62|1.1.1.67|1.1.1.71|1.1.1.72|1.1.1.77|1.1.1.78|1.1.1.79|1.1.1.8|1.1.1.81|1.1.1.83|1.1.1.85|1.1.1.87|1.1.1.88|1.1.1.9|1.1.1.90|1.1.1.93|1.1.1.94|1.1.1.95|1.12.1.2|1.12.1.5|1.13.11.-|1.13.12.-|1.14.-.-|1.14.12.-|1.14.12.1|1.14.12.10|1.14.12.11|1.14.12.12|1.14.12.13|1.14.12.18|1.14.12.19|1.14.12.22|1.14.12.3|1.14.12.7|1.14.13.-|1.14.13.1|1.14.13.107|1.14.13.111|1.14.13.113|1.14.13.114|1.14.13.127|1.14.13.129|1.14.13.131|1.14.13.135|1.14.13.141|1.14.13.142|1.14.13.151|1.14.13.163|1.14.13.25|1.14.13.40|1.14.13.72|1.14.13.83|1.14.13.90|1.14.14.1|1.14.14.9|1.14.15.-|1.14.18.1|1.14.19.7|1.14.21.6|1.16.1.3|1.17.1.1|1.17.1.2|1.17.1.4|1.17.1.8|1.18.1.1|1.18.1.3|1.18.1.4|1.2.1.-|1.2.1.10|1.2.1.12|1.2.1.16|1.2.1.18|1.2.1.19|1.2.1.2|1.2.1.20|1.2.1.21|1.2.1.22|1.2.1.23|1.2.1.24|1.2.1.27|1.2.1.28|1.2.1.29|1.2.1.3|1.2.1.31|1.2.1.32|1.2.1.36|1.2.1.39|1.2.1.46|1.2.1.47|1.2.1.5|1.2.1.53|1.2.1.54|1.2.1.57|1.2.1.59|1.2.1.60|1.2.1.64|1.2.1.65|1.2.1.68|1.2.1.71|1.2.1.72|1.2.1.8|1.2.1.86|1.2.4.2|1.3.1.-|1.3.1.12|1.3.1.19|1.3.1.21|1.3.1.24|1.3.1.25|1.3.1.28|1.3.1.29|1.3.1.31|1.3.1.32|1.3.1.43|1.3.1.44|1.3.1.56|1.3.1.58|1.3.1.62|1.3.1.67|1.3.1.68|1.3.1.76|1.3.1.79|1.3.1.87|1.3.1.9|1.3.1.93|1.3.1.98|1.3.8.1|1.4.1.1|1.4.1.14|1.4.1.2|1.4.1.20|1.4.1.21|1.4.1.23|1.4.1.24|1.4.1.3|1.4.1.4|1.4.1.9|1.4.4.2|1.5.1.-|1.5.1.1|1.5.1.12|1.5.1.15|1.5.1.2|1.5.1.20|1.5.1.21|1.5.1.3|1.5.1.34|1.5.1.37|1.5.1.39|1.5.1.41|1.5.1.42|1.5.1.45|1.5.1.7|1.5.1.9|1.5.99.8|1.6.1.1|1.6.1.2|1.6.2.2|1.6.5.2|1.6.5.4|1.7.1.1|1.7.1.10|1.7.1.14|1.7.1.15|1.7.1.2|1.7.1.4|1.7.99.1|1.8.1.4|1.8.1.6|1.8.1.7|2.1.2.10|2.3.1.61|2.3.1.86|3.7.1.-|5.3.3.1;1.-.-.-|1.1.1.-|1.1.1.1|1.1.1.10|1.1.1.100|1.1.1.101|1.1.1.102|1.1.1.120|1.1.1.130|1.1.1.133|1.1.1.137|1.1.1.146|1.1.1.149|1.1.1.153|1.1.1.154|1.1.1.157|1.1.1.169|1.1.1.170|1.1.1.179|1.1.1.184|1.1.1.187|1.1.1.188|1.1.1.189|1.1.1.193|1.1.1.194|1.1.1.195|1.1.1.2|1.1.1.206|1.1.1.207|1.1.1.208|1.1.1.209|1.1.1.21|1.1.1.213|1.1.1.215|1.1.1.216|1.1.1.218|1.1.1.219|1.1.1.220|1.1.1.234|1.1.1.236|1.1.1.243|1.1.1.247|1.1.1.248|1.1.1.25|1.1.1.261|1.1.1.264|1.1.1.266|1.1.1.267|1.1.1.270|1.1.1.271|1.1.1.272|1.1.1.281|1.1.1.282|1.1.1.294|1.1.1.295|1.1.1.298|1.1.1.299|1.1.1.3|1.1.1.300|1.1.1.302|1.1.1.307|1.1.1.312|1.1.1.313|1.1.1.314|1.1.1.318|1.1.1.319|1.1.1.329|1.1.1.330|1.1.1.338|1.1.1.34|1.1.1.341|1.1.1.342|1.1.1.348|1.1.1.351|1.1.1.36|1.1.1.40|1.1.1.42|1.1.1.43|1.1.1.44|1.1.1.47|1.1.1.48|1.1.1.49|1.1.1.50|1.1.1.51|1.1.1.60|1.1.1.62|1.1.1.64|1.1.1.65|1.1.1.71|1.1.1.72|1.1.1.79|1.1.1.81|1.1.1.82|1.1.1.86|1.1.1.94|1.13.12.-|1.14.-.-|1.14.12.-|1.14.12.1|1.14.12.10|1.14.12.18|1.14.12.20|1.14.12.22|1.14.13.-|1.14.13.100|1.14.13.101|1.14.13.104|1.14.13.106|1.14.13.107|1.14.13.109|1.14.13.11|1.14.13.112|1.14.13.117|1.14.13.118|1.14.13.119|1.14.13.12|1.14.13.121|1.14.13.122|1.14.13.123|1.14.13.124|1.14.13.125|1.14.13.126|1.14.13.13|1.14.13.132|1.14.13.133|1.14.13.136|1.14.13.137|1.14.13.138|1.14.13.139|1.14.13.140|1.14.13.143|1.14.13.144|1.14.13.145|1.14.13.148|1.14.13.149|1.14.13.15|1.14.13.154|1.14.13.159|1.14.13.165|1.14.13.168|1.14.13.169|1.14.13.17|1.14.13.2|1.14.13.20|1.14.13.21|1.14.13.22|1.14.13.25|1.14.13.28|1.14.13.30|1.14.13.33|1.14.13.36|1.14.13.38|1.14.13.39|1.14.13.40|1.14.13.41|1.14.13.47|1.14.13.48|1.14.13.49|1.14.13.50|1.14.13.53|1.14.13.59|1.14.13.60|1.14.13.63|1.14.13.68|1.14.13.7|1.14.13.70|1.14.13.71|1.14.13.72|1.14.13.73|1.14.13.76|1.14.13.77|1.14.13.78|1.14.13.79|1.14.13.8|1.14.13.81|1.14.13.84|1.14.13.88|1.14.13.89|1.14.13.9|1.14.13.90|1.14.13.93|1.14.13.95|1.14.13.98|1.14.13.99|1.14.14.1|1.14.15.3|1.14.21.-|1.14.21.1|1.14.21.3|1.14.21.4|1.14.21.5|1.14.21.6|1.14.99.10|1.14.99.9|1.17.1.1|1.17.1.2|1.17.1.3|1.17.1.7|1.17.1.8|1.18.1.2|1.18.1.6|1.2.1.-|1.2.1.11|1.2.1.13|1.2.1.16|1.2.1.18|1.2.1.26|1.2.1.28|1.2.1.3|1.2.1.31|1.2.1.38|1.2.1.4|1.2.1.41|1.2.1.43|1.2.1.44|1.2.1.5|1.2.1.59|1.2.1.63|1.2.1.68|1.2.1.7|1.2.1.70|1.2.1.75|1.2.1.76|1.2.1.79|1.2.1.8|1.2.1.9|1.23.1.-|1.3.1.-|1.3.1.10|1.3.1.13|1.3.1.2|1.3.1.20|1.3.1.21|1.3.1.22|1.3.1.24|1.3.1.3|1.3.1.32|1.3.1.33|1.3.1.38|1.3.1.42|1.3.1.45|1.3.1.54|1.3.1.70|1.3.1.71|1.3.1.72|1.3.1.77|1.3.1.78|1.3.1.79|1.3.1.8|1.3.1.80|1.3.1.81|1.3.1.82|1.3.1.83|1.3.1.84|1.3.1.85|1.3.1.93|1.3.1.96|1.3.1.98|1.3.3.9|1.3.99.6|1.4.1.13|1.4.1.16|1.4.1.21|1.4.1.3|1.4.1.4|1.4.1.8|1.5.1.-|1.5.1.1|1.5.1.10|1.5.1.12|1.5.1.19|1.5.1.2|1.5.1.20|1.5.1.21|1.5.1.3|1.5.1.30|1.5.1.34|1.5.1.38|1.5.1.39|1.5.1.41|1.5.1.43|1.5.1.45|1.5.1.47|1.5.1.5|1.5.1.6|1.5.1.8|1.6.1.1|1.6.1.2|1.6.99.1|1.7.1.-|1.7.1.13|1.7.1.14|1.7.1.2|1.7.1.3|1.7.1.4|1.7.1.7|1.8.1.12|1.8.1.2|1.8.1.7|1.8.1.9|2.1.1.148|2.3.1.170|2.3.1.85|2.3.1.86|2.3.1.94|2.5.1.21|4.2.1.-
R10250,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.14.99;1.14.13;1.2.7;1.5.99;3.7.1,2.-.-.-|2.1.1.-|2.1.1.1|2.1.1.10|2.1.1.101|2.1.1.102|2.1.1.103|2.1.1.104|2.1.1.107|2.1.1.11|2.1.1.111|2.1.1.114|2.1.1.115|2.1.1.116|2.1.1.117|2.1.1.118|2.1.1.12|2.1.1.122|2.1.1.128|2.1.1.130|2.1.1.131|2.1.1.132|2.1.1.133|2.1.1.140|2.1.1.141|2.1.1.143|2.1.1.146|2.1.1.150|2.1.1.151|2.1.1.152|2.1.1.156|2.1.1.157|2.1.1.158|2.1.1.159|2.1.1.16|2.1.1.160|2.1.1.161|2.1.1.162|2.1.1.163|2.1.1.17|2.1.1.171|2.1.1.172|2.1.1.173|2.1.1.174|2.1.1.181|2.1.1.187|2.1.1.188|2.1.1.195|2.1.1.196|2.1.1.197|2.1.1.2|2.1.1.20|2.1.1.201|2.1.1.210|2.1.1.212|2.1.1.222|2.1.1.234|2.1.1.235|2.1.1.239|2.1.1.240|2.1.1.241|2.1.1.254|2.1.1.267|2.1.1.271|2.1.1.28|2.1.1.37|2.1.1.38|2.1.1.4|2.1.1.41|2.1.1.43|2.1.1.49|2.1.1.53|2.1.1.59|2.1.1.6|2.1.1.60|2.1.1.64|2.1.1.67|2.1.1.68|2.1.1.71|2.1.1.76|2.1.1.8|2.1.1.95|2.1.1.96|2.1.1.98;2.5.1.16|2.5.1.22;2.3.1.184|4.4.1.14
R01393,4.1.1;6.4.1;2.1.3;1.3.8;1.1.1,4.1.1.75;4.1.1.79;4.1.1.82;4.1.1.-|4.1.1.43;4.1.1.7
R05368,3.8.1;1.14.13;4.5.1,3.8.1.5;3.8.1.5
R12827,1.14.13;1.14.14;1.14.11;1.14.-;1.14.15;1.14.16;1.14.99;1.14.18;1.17.1;1.10.99;1.10.3;1.97.1;1.17.99;1.13.11;1.3.99;1.3.7;1.14.20;1.-.-;1.2.1;1.1.1;4.1.99;2.5.1,1.14.11.26;3.3.1.1;3.3.1.1;1.14.14.1;1.14.14.1;1.14.13.49;1.14.15.4|1.14.15.5;nan;nan;1.14.11.12;nan;1.14.13.93;1.14.13.109;1.14.14.1;1.14.11.12;1.14.13.78;nan;nan;1.14.99.43;nan;1.14.13.122;1.14.14.1;2.5.1.15;1.14.15.-;1.14.15.-;1.14.13.-|1.14.15.-;3.13.1.1;1.14.15.-;1.14.12.12;1.14.13.-
R08136,1.14.13;1.14.99;1.14.14;1.14.11;1.14.18;1.14.16;1.14.15;1.14.-;1.13.11;1.17.1;1.97.1;4.1.2;1.10.3;2.1.1;1.10.99;1.3.99;1.2.1;1.3.7;1.14.20;1.14.12;1.17.99;1.1.1;4.1.99,nan;nan;1.14.99.38;1.14.13.159;1.14.13.98;1.14.13.126;1.14.13.126;1.14.13.112;1.14.13.112;1.14.-.-;5.1.99.4;1.14.-.-;1.14.13.112;1.14.13.112;nan;5.1.99.4;nan;1.14.13.-;1.14.13.-;1.14.13.-;1.14.13.-;1.14.13.-;1.14.15.6;1.14.15.6
R05759,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.14.99;1.14.13;1.2.7;1.5.99;3.7.1,2.5.1.16|2.5.1.22;2.3.1.184|4.4.1.14
