idx,rxn,rxn_class,r,p,rxn_class_th,class_id,split
5254,O=C([O-])C(=O)C[C@H](O)[C@@H](O)CO>>[H][C@@]1([C@H](O)C(=O)[O-])OC[C@H](O)[C@H]1O,5.5.1.25,O=C([O-])C(=O)C[C@H](O)[C@@H](O)CO,[H][C@@]1([C@H](O)C(=O)[O-])OC[C@H](O)[C@H]1O,5.5.1,65,train
5255,C=C(C)C1CCC(C)=CC1=O>>CC1=CC(=O)C(=C(C)C)CC1,5.3.3.11,C=C(C)C1CCC(C)=CC1=O,CC1=CC(=O)C(=C(C)C)CC1,5.3.3,51,train
5256,CC1=CC(=O)C(=C(C)C)CC1>>C=C(C)C1CCC(C)=CC1=O,5.3.3.11,CC1=CC(=O)C(=C(C)C)CC1,C=C(C)C1CCC(C)=CC1=O,5.3.3,51,train
5257,[Fe+3].[Fe+3].[H]C(=O)[O-]>>[Fe+2].[Fe+2].O=C=O.[H+],1.2.2.1,[Fe+3].[Fe+3].[H]C(=O)[O-],[Fe+2].[Fe+2].O=C=O.[H+],1.2.2,194,train
5258,[Fe+2].[Fe+2].O=C=O.[H+]>>[Fe+3].[Fe+3].[H]C(=O)[O-],1.2.2.1,[Fe+2].[Fe+2].O=C=O.[H+],[Fe+3].[Fe+3].[H]C(=O)[O-],1.2.2,194,train
5259,CC(C)C(=O)C(=O)[O-].CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H]>>CC(C)[C@@](O)(CC(=O)[O-])C(=O)[O-].CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.[H+],2.3.3.13,CC(C)C(=O)C(=O)[O-].CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],CC(C)[C@@](O)(CC(=O)[O-])C(=O)[O-].CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.[H+],2.3.3,28,train
5260,CC(C)[C@@](O)(CC(=O)[O-])C(=O)[O-].CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.[H+]>>CC(C)C(=O)C(=O)[O-].CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],2.3.3.13,CC(C)[C@@](O)(CC(=O)[O-])C(=O)[O-].CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.[H+],CC(C)C(=O)C(=O)[O-].CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H],2.3.3,28,train
5261,[NH3+]CCCC[NH2+]CCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H]([NH3+])C(=O)[O-].[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O>>[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)NCCCC[NH2+]CCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+],6.3.1.9,[NH3+]CCCC[NH2+]CCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H]([NH3+])C(=O)[O-].[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)NCCCC[NH2+]CCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+],6.3.1,95,train
5262,[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)NCCCC[NH2+]CCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+]>>[NH3+]CCCC[NH2+]CCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H]([NH3+])C(=O)[O-].[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,6.3.1.9,[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)NCCCC[NH2+]CCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+],[NH3+]CCCC[NH2+]CCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H]([NH3+])C(=O)[O-].[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-].NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,6.3.1,95,train
5263,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC(=O)[O-]>>C/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])CC(=O)[O-].[H]O[H],4.2.1.18,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@](C)(O)CC(=O)[O-],C/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])CC(=O)[O-].[H]O[H],4.2.1,19,train
