reaction,left_comp,right_comp,left_smiles,right_smiles
MNXR131601,MNXM157652//MNXM1//MNXM735438//WATER,NS(=O)(=O)c1ccc(C=O)cc1//[NH4+]//OO,NCc1ccc(S(N)(=O)=O)cc1.[H+].O=O.[H]O[H],NS(=O)(=O)c1ccc(C=O)cc1.[NH4+].OO
MNXR169441,MNXM10//MNXM1//MNXM39442,CC/C=C\C[C@H](O)/C=C/C=C\C=C\C=C\[C@@H](O)[C@@H](O)C/C=C\CCC(=O)[O-]//NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].CC/C=C\C[C@H](O)/C=C/C=C\C=C\C=C\C(=O)[C@@H](O)C/C=C\CCC(=O)[O-],CC/C=C\C[C@H](O)/C=C/C=C\C=C\C=C\[C@@H](O)[C@@H](O)C/C=C\CCC(=O)[O-].NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
MNXR124089,MNXM159039//MNXM728238//MNXM735438,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n([*])c2cc1C//[*]O//[H]O[H],[*].Cc1cc2c(cc1C)N([*])c1[nH]c(=O)[nH]c(=O)c1N2.O=O,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n([*])c2cc1C.[*]O.[H]O[H]
MNXR183855,MNXM488482//MNXM728825,[*]OP(=O)([O-])OC[C@H]1O[C@@H](O)C[C@@H]1OP(=O)([O-])OC[C@H]1O[C@@H]([*])C[C@@H]1OP(=O)([O-])O[*],[*]OP(=O)([O-])O[C@H]1C[C@H]([*])O[C@@H]1COP(=O)([O-])[O-].[*]OP(=O)([O-])OCC1=CC[C@H](O)O1,[*]OP(=O)([O-])OC[C@H]1O[C@@H](O)C[C@@H]1OP(=O)([O-])OC[C@H]1O[C@@H]([*])C[C@@H]1OP(=O)([O-])O[*]
MNXR108047,MNXM1037//WATER,NC(N)=O//[NH3+]CCCC(=O)C(=O)[O-],NC(=[NH2+])NCCCC(=O)C(=O)[O-].[H]O[H],NC(N)=O.[NH3+]CCCC(=O)C(=O)[O-]
MNXR120572,MNXM1100473//MNXM1//MNXM735438//MNXM738702,C=C[C@@](C)(CCC(O)C(=C)C)c1ccc2c3c(c[nH]c13)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C//NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1//[H]O[H],C=C[C@@](C)(CCC=C(C)C)c1ccc2c3c(c[nH]c13)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C.[H+].O=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,C=C[C@@](C)(CCC(O)C(=C)C)c1ccc2c3c(c[nH]c13)C[C@@H](CO)NC(=O)[C@H](C(C)C)N2C.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.[H]O[H]
MNXR133877,MNXM167547//MNXM40333//MNXM9,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O//NO//[NH3+][C@H](CC(=O)[O-])C(=O)[O-],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.NO.[NH3+][C@H](CC(=O)[O-])C(=O)[O-]
MNXR121236,MNXM10//MNXM12917//MNXM1,[NH3+][C@@H](CCC(=O)N[C@@H](CSNO)C(=O)NCC(=O)[O-])C(=O)[O-]//NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[NH3+][C@@H](CCC(=O)N[C@@H](CSN=O)C(=O)NCC(=O)[O-])C(=O)[O-].[H+],[NH3+][C@@H](CCC(=O)N[C@@H](CSNO)C(=O)NCC(=O)[O-])C(=O)[O-].NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
MNXR116442,MNXM10018,CCCCCC/C=C\CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[*])C([*])=O//[H]O[H],CCCCCC/C=C\CCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[*])C([*])=O,CCCCCC/C=C\CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[*])C([*])=O.[H]O[H]
MNXR117652,MNXM11937//MNXM735438//MNXM738702,CC1(C(=O)[O-])CCCC2(C)C3CCC4CC3(CCC12)CC4C(=O)[O-]//NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1//[H]O[H],C[C@@]12CCC[C@@](C)(C=O)C1CC[C@]13CC(C(=O)[O-])[C@H](CCC12)C3.O=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,CC1(C(=O)[O-])CCCC2(C)C3CCC4CC3(CCC12)CC4C(=O)[O-].NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.[H]O[H]
