COMPOUNDS
ENTRY;GENERATION;KEGG;NAME;STRINGCODE;SPECIES;INCHIKEY;SMILES;ISBIO;FORMULA;CAR
BON;CHARGE;FILENAME;COFACTOR;DATABASE_LINKS;ENERGY;ERROR
reactionsS
ENTRY;KEGG;EQUATION;OPERATORS
126;;c298+c4+c5<=>c299+c7;
127;;c300+c10+c5<=>c199+c301+c13;
128;;c302+c303<=>c304+c305;
129;;c106+c19+c19+c19+c19<=>c306+c5+c5+c5+c5;
130;;c307+c68+c5<=>c308+c70;
131;;c309+c70<=>c310+c68+c5;
132;;c311+c312+c5<=>c313+c14;
133;;c314+c66<=>c315+c64;
134;;c243+c76+c14<=>c245+c316;
135;;c317+c70<=>c318+c68+c5;
136;;c319+c68+c5<=>c320+c70;
137;;c321+c138+c138+c14+c14<=>c322+c136+c136+c11+c5+c5;
138;;c323+c11<=>c324+c5;
139;;c325+c326<=>c327+c11;
140;;c328<=>c329+c44;
141;;c330+c11<=>c331+c89;
142;;c332+c138+c138+c14<=>c333+c136+c136+c5+c5;
143;;c334+c66<=>c335+c118+c64+c5+c5;
144;;c336+c4+c5<=>c337+c189;
145;;c338+c339+c339<=>c340+c314+c77+c5;
146;;c42+c14<=>c341+c44;
147;;c342<=>c343;
148;;c344+c14<=>c345+c18;
149;;c346+c19<=>c262+c5;
150;;c347+c11<=>c348;
151;;c349+c13+c14<=>c331+c10+c5+c5;
152;;c350+c52<=>c351+c53+c5;
153;;c352+c64+c5<=>c92+c66;
154;;c262+c262+c5<=>c353+c354;
155;;c293+c355+c18+c5<=>c294+c355+c44;
156;;c356+c14<=>c357+c61+c5;
157;;c358+c66<=>c359+c64+c5;
158;;c360+c361<=>c362+c363+c363+c5;
159;;c364+c66<=>c365+c64+c5;
160;;c366+c114<=>c367+c116+c5;
161;;c368<=>c369;
162;;c370+c371+c372+c11<=>c373+c374+c14+c14+c5;
163;;c296+c10+c5<=>c297+c13;
164;;c375+c52<=>c376+c53+c5;
