seed,method,mcc,ppv,recall,coverage,n_reactions
0,BEC-Pred,0.793405378052318,0.817289821556773,0.7951807228915663,1.0,492
0,SelenzymeRF,0.625299205364679,0.6433703180611868,0.6405622489959839,1.0,492
0,SIMMER,0.5587465807921863,0.6024600544610783,0.5542168674698795,0.9004065040650406,492
0,Theia,0.7497883417849716,0.7759217129778322,0.7530120481927711,0.9939024390243902,492
0,BridgIT,0.47585248703527994,0.5903508097261371,0.42570281124497994,0.6991869918699187,492
0,E-zyme1,0.4733258620904784,0.5164228125603036,0.4879518072289157,0.8272357723577236,492
0,E-zyme2,0.42946517877283114,0.5494714866147967,0.37751004016064255,0.6666666666666666,492
0,MajorityVote,0.8125859139117333,0.8171104291988062,0.8313253012048193,1.0,492
0,MajorityVoteCore4,0.8202493422057554,0.8273879068117943,0.8353413654618473,1.0,492
1,BEC-Pred,0.8194875863764673,0.8339124874851376,0.8223552894211577,1.0,496
1,SelenzymeRF,0.674785261945475,0.7032733680752046,0.6826347305389222,0.9979838709677419,496
1,SIMMER,0.5574702123338258,0.595583512723863,0.5528942115768463,0.9153225806451613,496
1,Theia,0.837905360176633,0.861379922983187,0.8343313373253493,0.9919354838709677,496
1,BridgIT,0.5304696200113841,0.6637476449018125,0.47305389221556887,0.6995967741935484,496
1,E-zyme1,0.45824440739514166,0.5146734921818901,0.469061876247505,0.8286290322580645,496
1,E-zyme2,0.42734740439630314,0.5460653340892863,0.37924151696606784,0.6673387096774194,496
1,MajorityVote,0.8431079691772327,0.851712614396452,0.8522954091816367,1.0,496
1,MajorityVoteCore4,0.8575871222982523,0.8592880802738581,0.8682634730538922,1.0,496
2,BEC-Pred,0.8196133026304067,0.8293704282805348,0.8289738430583501,1.0,492
2,SelenzymeRF,0.6685478321475704,0.6929732579861616,0.6800804828973843,1.0,492
2,SIMMER,0.597499667635056,0.6390716966169683,0.5915492957746479,0.9247967479674797,492
2,Theia,0.8320189952790848,0.8507295876096918,0.8309859154929577,0.9979674796747967,492
2,BridgIT,0.4743571197290328,0.5883969484573106,0.43259557344064387,0.7012195121951219,492
2,E-zyme1,0.491182968891051,0.5661648609283101,0.5030181086519114,0.8373983739837398,492
2,E-zyme2,0.43511026911609435,0.533924666337836,0.3983903420523139,0.6524390243902439,492
2,MajorityVote,0.8465271370023337,0.8475654167210911,0.8631790744466801,1.0,492
2,MajorityVoteCore4,0.8418198316102339,0.8321291298274248,0.8672032193158954,1.0,492
3,BEC-Pred,0.7439893747085177,0.7629546920842625,0.7475149105367793,1.0,492
3,SelenzymeRF,0.6543289440928107,0.6766598558997879,0.6660039761431411,1.0,492
3,SIMMER,0.534372922497461,0.5544848305065138,0.5487077534791253,0.9105691056910569,492
3,Theia,0.7867980175432631,0.8105419299057469,0.7872763419483101,0.9959349593495935,492
3,BridgIT,0.4513478137531945,0.5377362723368269,0.42147117296222664,0.7032520325203252,492
3,E-zyme1,0.44739770708528903,0.5010241078881865,0.4532803180914513,0.8313008130081301,492
3,E-zyme2,0.42872292995694783,0.5113380051998342,0.3956262425447316,0.6808943089430894,492
3,MajorityVote,0.7777156186452813,0.7787451821131594,0.7992047713717694,1.0,492
3,MajorityVoteCore4,0.7813393086977292,0.7743296577482253,0.8091451292246521,1.0,492
4,BEC-Pred,0.7786233254785748,0.7947423680637522,0.7828685258964143,1.0,497
4,SelenzymeRF,0.5930142439927073,0.6120012767956493,0.6095617529880478,0.9979879275653923,497
4,SIMMER,0.5503377793082753,0.5965564754576227,0.545816733067729,0.8873239436619719,497
4,Theia,0.7932680108947019,0.8063086422268116,0.8027888446215139,0.9959758551307847,497
4,BridgIT,0.4986427552658223,0.6452969409592916,0.44621513944223107,0.7002012072434608,497
4,E-zyme1,0.45432801989079746,0.5377031556314424,0.45219123505976094,0.7987927565392354,497
4,E-zyme2,0.40970392396598165,0.5147342522578421,0.36852589641434264,0.6317907444668008,497
4,MajorityVote,0.8071011607779314,0.813304791631527,0.8227091633466136,1.0,497
4,MajorityVoteCore4,0.7862601963623655,0.7845350289079277,0.8087649402390438,1.0,497
5,BEC-Pred,0.7915648037147412,0.7970313118577405,0.8007889546351085,1.0,496
5,SelenzymeRF,0.6412243003602933,0.6753799941641602,0.6449704142011834,0.9758064516129032,496
5,SIMMER,0.5595410869488395,0.6233476774372474,0.5404339250493096,0.9153225806451613,496
5,Theia,0.7992059137289069,0.8157704118766634,0.8067061143984221,0.9959677419354839,496
5,BridgIT,0.4713775767102623,0.61309222226382,0.4260355029585799,0.7358870967741935,496
5,E-zyme1,0.4972212886763586,0.5828631843453607,0.4970414201183432,0.8266129032258065,496
