method,ec_class,mcc_mean,mcc_std,ec_class_name
BEC-Pred,1,0.769917993162103,0.1211465872303352,Oxidoreductases
BEC-Pred,2,0.9145362250956856,0.016485719285278005,Transferases
BEC-Pred,3,0.8435746451884768,0.03701353952604659,Hydrolases
BEC-Pred,4,0.8650681989054888,0.06790296106394264,Lyases
BEC-Pred,5,0.765710862505359,0.09335168972106485,Isomerases
BEC-Pred,6,0.7384617460990099,0.1353375794046649,Ligases
BEC-Pred,7,0.0,,Translocases
BridgIT,1,0.614602777647317,0.07328341774545412,Oxidoreductases
BridgIT,2,0.7746006812960994,0.04160027772065138,Transferases
BridgIT,3,0.7059844078627496,0.08506094084746454,Hydrolases
BridgIT,4,0.4114396080141467,0.11604998188654461,Lyases
BridgIT,5,0.03387718381007707,0.04759703670607088,Isomerases
BridgIT,6,0.6971441313013427,0.17892531840705123,Ligases
BridgIT,7,0.0,,Translocases
E-zyme1,1,0.5459661840393144,0.11800874392832227,Oxidoreductases
E-zyme1,2,0.701413628444538,0.03235830451807548,Transferases
E-zyme1,3,0.46259898629191154,0.09276355980213008,Hydrolases
E-zyme1,4,0.8900966677132273,0.04540984568696075,Lyases
E-zyme1,5,0.9313283867306525,0.04680947889566871,Isomerases
E-zyme1,6,0.10200095049400788,0.08879694321076996,Ligases
E-zyme1,7,0.0,,Translocases
E-zyme2,1,0.6209662419762533,0.10484941357726592,Oxidoreductases
E-zyme2,2,0.6569740498125063,0.039676859264660476,Transferases
E-zyme2,3,0.6343378499671681,0.05887211501043473,Hydrolases
E-zyme2,4,0.8015828139209509,0.05093213364431606,Lyases
E-zyme2,5,0.7239897633996704,0.07550377858274995,Isomerases
E-zyme2,6,0.4329247608833744,0.2406454529740503,Ligases
E-zyme2,7,0.0,,Translocases
MajorityVoteCore4,1,0.8251010180863171,0.09084636146458908,Oxidoreductases
MajorityVoteCore4,2,0.9097048724630847,0.024457067301285343,Transferases
MajorityVoteCore4,3,0.8610660477606713,0.032851048603589006,Hydrolases
MajorityVoteCore4,4,0.914271019413728,0.04398025223456977,Lyases
MajorityVoteCore4,5,0.9115273281853762,0.05075177519943521,Isomerases
MajorityVoteCore4,6,0.7049699566115609,0.18476225044669684,Ligases
MajorityVoteCore4,7,0.0,,Translocases
SIMMER,1,0.5000332339996184,0.09449941231888077,Oxidoreductases
SIMMER,2,0.7730562323391399,0.04134522818651376,Transferases
SIMMER,3,0.664603070897572,0.08303664172976323,Hydrolases
SIMMER,4,0.7453560006820704,0.06560676215968766,Lyases
SIMMER,5,0.6122317670023717,0.09475821956600815,Isomerases
SIMMER,6,0.39716242853660233,0.20610514024649673,Ligases
SIMMER,7,0.0,,Translocases
SelenzymeRF,1,0.6408704443844712,0.1317806044863426,Oxidoreductases
SelenzymeRF,2,0.7870559743500556,0.02839677954879031,Transferases
SelenzymeRF,3,0.6067611169579338,0.06662905227111386,Hydrolases
SelenzymeRF,4,0.7311083089753155,0.05737800178986383,Lyases
SelenzymeRF,5,0.6248744039437286,0.10608959507148145,Isomerases
SelenzymeRF,6,0.47062747275829847,0.2558316947297685,Ligases
SelenzymeRF,7,0.0,,Translocases
Theia,1,0.852549349111219,0.09027621528196254,Oxidoreductases
Theia,2,0.8297746558093317,0.02463058748461771,Transferases
Theia,3,0.8502663904578048,0.04711346647300057,Hydrolases
Theia,4,0.882917593702963,0.04074513942292769,Lyases
Theia,5,0.8439435028742718,0.07765935669808488,Isomerases
Theia,6,0.6970002098229836,0.1776524785107916,Ligases
Theia,7,0.0,,Translocases
