reaction_id,true_ec,true_class,BEC-Pred_correct,CLAIRE_correct,SelenzymeRF_correct,SIMMER_correct,Theia_correct,BridgIT_correct,E-zyme1_correct,E-zyme2_correct,MajorityVote_correct,MajorityVoteCore4_correct,n_methods_correct
R04785,3.1.1.17,3,True,True,True,True,True,False,True,True,True,True,9
R03422,3.1.4.37,3,True,True,True,True,True,False,True,True,True,True,9
R00088,3.5.4.17|3.5.4.18,3,True,True,False,True,True,True,True,True,True,True,9
R01101,3.2.1.22,3,True,True,True,True,True,True,False,True,True,True,9
R09737,2.1.1.201,2,True,True,True,True,True,True,True,False,True,True,9
R01320,2.1.1.16|2.1.1.71,2,True,True,True,True,True,True,True,False,True,True,9
R08864,1.13.11.72,1,True,True,True,True,True,False,True,True,True,True,9
R11310,5.4.2.6,5,True,True,True,True,True,True,True,False,True,True,9
R02427,3.1.1.110,3,True,True,True,True,True,False,True,True,True,True,9
R05213,2.1.1.121,2,True,True,True,True,True,True,True,False,True,True,9
R12388,2.4.1.367,2,True,True,True,True,True,True,True,False,True,True,9
R02396,2.3.1.7,2,True,True,True,True,True,True,True,False,True,True,9
R01538,4.2.1.39|4.2.1.140,4,True,True,True,True,True,False,True,True,True,True,9
R04206,4.2.1.11,4,True,True,True,True,True,False,True,True,True,True,9
R06804,2.4.1.239,2,True,True,True,False,True,True,True,True,True,True,9
R13246,3.1.3.62,3,True,True,True,True,True,True,False,True,True,True,9
R09250,2.5.1.84,2,True,True,True,True,True,False,True,True,True,True,9
R03558,2.4.1.172,2,True,True,False,True,True,True,True,True,True,True,9
R03417,3.1.1.5,3,True,True,True,True,True,True,False,True,True,True,9
R00771,5.3.1.9,5,True,True,True,True,True,False,True,True,True,True,9
R02862,2.1.1.87,2,True,True,True,True,True,True,True,False,True,True,9
R08617,4.2.3.124,4,True,True,True,True,True,False,True,True,True,True,9
R10844,1.13.11.84,1,True,False,True,True,True,True,True,True,True,True,9
R02375,2.3.1.139,2,True,True,True,True,True,True,True,False,True,True,9
R04662,2.4.1.145,2,True,True,True,True,False,True,True,True,True,True,9
R08787,2.1.1.291,2,True,True,True,True,True,True,True,False,True,True,9
R10253,2.3.1.-,2,True,True,True,True,True,True,True,False,True,True,9
R11718,4.1.2.59,4,True,True,False,True,True,True,True,True,True,True,9
R10524,2.1.1.44,2,True,True,True,True,True,True,True,False,True,True,9
R04744,4.2.1.17|4.2.1.74,4,True,True,True,True,True,False,True,True,True,True,9
R02289,2.1.1.258|2.1.1.378|2.1.1.385|2.1.1.389,2,True,True,True,True,True,False,True,True,True,True,9
R02433,2.6.1.1,2,True,False,True,True,True,True,True,True,True,True,9
R06310,2.3.1.166,2,True,False,True,True,True,True,True,True,True,True,9
R06556,5.5.1.6,5,True,True,True,True,True,False,True,True,True,True,9
R02229,1.1.1.163|1.1.1.245,1,True,True,True,True,True,True,True,False,True,True,9
R06998,2.1.1.315,2,True,True,True,True,True,True,True,False,True,True,9
R07375,2.1.1.150,2,True,True,True,True,True,True,True,False,True,True,9
R01923,2.3.1.21,2,True,True,True,True,True,True,True,False,True,True,9
R04981,2.1.1.-,2,True,True,True,True,True,True,True,False,True,True,9
R13356,2.1.1.393,2,True,True,True,True,True,True,True,False,True,True,9
