method,coverage_mean,coverage_std,mcc_mean,mcc_std,ppv_mean,ppv_std,recall_mean,recall_std
BEC-Pred,1.0,0.0,0.8549014858573551,0.027580575934820797,0.8622086742152367,0.031873056175656674,0.8628271127711177,0.024601862456963386
BridgIT,1.0,0.0,0.6253463529582699,0.03023557478016637,0.6540851920661723,0.046183526442714944,0.6389934536328228,0.027866117056708963
E-zyme1,1.0,0.0,0.6505477296584017,0.02773676847789084,0.6759816515113573,0.030298399836112558,0.6774837686544706,0.024545221343417363
E-zyme2,1.0,0.0,0.6667283335422068,0.018437465828578577,0.7308132878960856,0.02089293125395562,0.6514939233333672,0.02105655720742186
MajorityVote,1.0,0.0,0.8871260695964842,0.027888839397683243,0.8924634272609572,0.028219191404941786,0.8960048640097062,0.02540082233837157
MajorityVoteCore4,1.0,0.0,0.8807316398855363,0.03163446537411515,0.8821932246952425,0.03424056801440102,0.8936232295550374,0.026075451655659714
SIMMER,1.0,0.0,0.684860691517259,0.021864527097581122,0.7009979760024778,0.01808591842704525,0.7038833027675219,0.026380731550884683
SelenzymeRF,1.0,0.0,0.6943428961204118,0.038455613622319085,0.7433517637167089,0.042639090851960014,0.6901686880440817,0.03616443068190474
Theia,1.0,0.0,0.842070749726038,0.030956189030729872,0.86506788120514,0.02659168127343711,0.8438487062517337,0.03054368702106171
