method,0,1,2,3,4,5,6,7,8,9
BEC-Pred,0.793405378052318,0.8194875863764673,0.8196133026304067,0.7439893747085177,0.7786233254785748,0.7915648037147412,0.833454899215381,0.7931750273513783,0.8038430939475056,0.7918032027093348
BridgIT,0.4758524870352799,0.5304696200113841,0.4743571197290328,0.4513478137531945,0.4986427552658223,0.4713775767102623,0.4793919285439477,0.4649351925951092,0.4953305962802625,0.4902221628704833
E-zyme1,0.4733258620904784,0.4582444073951416,0.491182968891051,0.447397707085289,0.4543280198907974,0.4972212886763586,0.47055701131268,0.4968082091079107,0.5019267414943844,0.5247030841061078
E-zyme2,0.4294651787728311,0.4273474043963031,0.4351102691160943,0.4287229299569478,0.4097039239659816,0.4503756374224566,0.4428295338204516,0.4451913517295625,0.4429854479806558,0.4568701510852394
MajorityVote,0.8125859139117333,0.8431079691772327,0.8465271370023337,0.7777156186452813,0.8071011607779314,0.8015927334967771,0.8333758206832012,0.8134446388828854,0.8456138448686488,0.8155934893701097
MajorityVoteCore4,0.8202493422057554,0.8575871222982523,0.8418198316102339,0.7813393086977292,0.7862601963623655,0.8147756308933718,0.8460576280380181,0.8060806718477792,0.8264487179043185,0.8246433506533059
SIMMER,0.5587465807921863,0.5574702123338258,0.597499667635056,0.534372922497461,0.5503377793082753,0.5595410869488395,0.5519409517832836,0.5556588679518208,0.5758566026988053,0.5787145247468443
SelenzymeRF,0.625299205364679,0.674785261945475,0.6685478321475704,0.6543289440928107,0.5930142439927073,0.6412243003602933,0.6464805763138723,0.6410775771909205,0.6862347612065638,0.677805737790501
Theia,0.7497883417849716,0.837905360176633,0.8320189952790848,0.7867980175432631,0.7932680108947019,0.7992059137289069,0.7937815541749034,0.8265375661382295,0.8197250581639902,0.8019055774074622
