idx,rxn,rxn_class,r,p,rxn_class_th,class_id,split
2269,O=C1CN=CN1.[H][N+]([H])([H])[H]>>NC1=CNC=N1.[H]O[H].[H+],3.5.4.8,O=C1CN=CN1.[H][N+]([H])([H])[H],NC1=CNC=N1.[H]O[H].[H+],3.5.4,39,train
2270,O=C1C(CC2=CC=C(O)C=C2)=N/C2=C(\CC3=CC=CC=C3)N/C(C3=CC=C(O)C=C3)=C\N12.O=O>>O=C(CC1=CC=C(O)C=C1)NC1=C(CC2=CC=CC=C2)N=C(C2=CC=C(O)C=C2)C=N1.O=C=O,1.13.12.13,O=C1C(CC2=CC=C(O)C=C2)=N/C2=C(\CC3=CC=CC=C3)N/C(C3=CC=C(O)C=C3)=C\N12.O=O,O=C(CC1=CC=C(O)C=C1)NC1=C(CC2=CC=CC=C2)N=C(C2=CC=C(O)C=C2)C=N1.O=C=O,1.13.12,144,train
2271,*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C(N)N=CN=C32)[C@H](O)[C@@H]1OC(=O)[C@H](C)[NH3+].*C(=O)OC[C@H](COP(=O)([O-])OC[C@@H](O)CO)OC(*)=O>>*C(=O)OC[C@H](COP(=O)([O-])OC[C@@H](O)COC(=O)[C@H](C)[NH3+])OC(*)=O.*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C(N)N=CN=C32)[C@H](O)[C@@H]1O,2.3.2.11,*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C(N)N=CN=C32)[C@H](O)[C@@H]1OC(=O)[C@H](C)[NH3+].*C(=O)OC[C@H](COP(=O)([O-])OC[C@@H](O)CO)OC(*)=O,*C(=O)OC[C@H](COP(=O)([O-])OC[C@@H](O)COC(=O)[C@H](C)[NH3+])OC(*)=O.*P(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C(N)N=CN=C32)[C@H](O)[C@@H]1O,2.3.2,48,train
2272,O=C(CO)[C@@H](O)[C@H](O)COP(=O)([O-])[O-]>>O=C(CO)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],5.1.3.4,O=C(CO)[C@@H](O)[C@H](O)COP(=O)([O-])[O-],O=C(CO)[C@@H](O)[C@@H](O)COP(=O)([O-])[O-],5.1.3,23,train
2273,[NH3+][C@H](CS)C(=O)[O-].[H]O[H]>>[H][S-].CC(=O)C(=O)[O-].[H][N+]([H])([H])[H].[H+],4.4.1.15,[NH3+][C@H](CS)C(=O)[O-].[H]O[H],[H][S-].CC(=O)C(=O)[O-].[H][N+]([H])([H])[H].[H+],4.4.1,9,train
2274,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@]([H])(C)CC[C@@H](O)[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3OP(=O)([O-])[O-])[C@]1([H])[C@H](O)C2>>[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@]([H])(C)CC/C=C(\C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3OP(=O)([O-])[O-])[C@]1([H])[C@H](O)C2.[H]O[H],4.2.1.107,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@]([H])(C)CC[C@@H](O)[C@@H](C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3OP(=O)([O-])[O-])[C@]1([H])[C@H](O)C2,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@@]3(C)[C@@]([H])(CC[C@]3([H])[C@]([H])(C)CC/C=C(\C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](O)[C@@H]3OP(=O)([O-])[O-])[C@]1([H])[C@H](O)C2.[H]O[H],4.2.1,17,train
2275,[NH3+][C@H]1C(O)O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O.CC(=O)[O-]>>CC(=O)N[C@H]1C(O)O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O.[H]O[H],3.5.1.25,[NH3+][C@H]1C(O)O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O.CC(=O)[O-],CC(=O)N[C@H]1C(O)O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O.[H]O[H],3.5.1,60,train
2276,[H][C@@]12NC3=C(N=C(N)NC3=O)N[C@]1([H])O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N3C=CC(N)=NC3=O)[C@H](O)[C@@H]1O)C1=C2S[Mo-](=O)(=O)([O-])S1.O=P([O-])([O-])OP(=O)([O-])O>>[H][C@@]12NC3=C(N=C(N)NC3=O)N[C@]1([H])O[C@H](COP(=O)([O-])[O-])C1=C2S[Mo-](=O)(=O)([O-])S1.NC1=NC(=O)N([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C=C1.[H+],2.7.7.76,[H][C@@]12NC3=C(N=C(N)NC3=O)N[C@]1([H])O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N3C=CC(N)=NC3=O)[C@H](O)[C@@H]1O)C1=C2S[Mo-](=O)(=O)([O-])S1.O=P([O-])([O-])OP(=O)([O-])O,[H][C@@]12NC3=C(N=C(N)NC3=O)N[C@]1([H])O[C@H](COP(=O)([O-])[O-])C1=C2S[Mo-](=O)(=O)([O-])S1.NC1=NC(=O)N([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C=C1.[H+],2.7.7,31,train
2277,[H][C@@]12CC[C@@]3([H])C(C)(C)[C@@H](O)CC[C@@]34C[C@@]14CC[C@@]1(C)[C@@]2(C)CC[C@]1([H])[C@H](C)CCC(=C)C(C)C.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+]>>[H][C@@]12CC[C@@]3([H])C(C)(C)[C@@H](O)CC[C@@]34C[C@@]14CC[C@@]1(C)[C@@]2(C)CC[C@]1([H])[C@H](C)CCC=C(C)C.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,2.1.1.41,[H][C@@]12CC[C@@]3([H])C(C)(C)[C@@H](O)CC[C@@]34C[C@@]14CC[C@@]1(C)[C@@]2(C)CC[C@]1([H])[C@H](C)CCC(=C)C(C)C.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+],[H][C@@]12CC[C@@]3([H])C(C)(C)[C@@H](O)CC[C@@]34C[C@@]14CC[C@@]1(C)[C@@]2(C)CC[C@]1([H])[C@H](C)CCC=C(C)C.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,2.1.1,0,train
2278,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1N.[NH3+][C@@H](CC(=O)[O-])C(=O)[O-].[H+]>>CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1NC(=O)C[C@H]([NH3+])C(=O)[O-].[H]O[H],3.5.1.26,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1N.[NH3+][C@@H](CC(=O)[O-])C(=O)[O-].[H+],CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1NC(=O)C[C@H]([NH3+])C(=O)[O-].[H]O[H],3.5.1,60,train
