Reaction ID	Name	Equation	ec	Definition	R Class	Canonical_SMILES	Isomeric_SMILES	All_Found	Complete_Canonical	Complete_Isomeric	balanced	Promiscuous
R06134		C00241 + C00001 <=> C00060 + C00014	3.5.1.1|3.5.1.2|3.5.1.3|3.5.1.4	Amide + H2O <=> Carboxylate + Ammonia	RC01025  C00060_C00241	*C(N)=O.O>>*C([O-])=O.N	*C(N)=O.O>>*C(=O)[O-].N	False	True	True	True	True
R04304	4-hydroxyphenylethanol:NAD+ oxidoreductase	C06044 + C00003 <=> C03765 + C00004 + C00080	1.1.1.90	4-Hydroxyphenylethanol + NAD+ <=> 4-Hydroxyphenylacetaldehyde + NADH + H+	RC00001  C00003_C00004	C1=CC(=CC=C1CCO)O.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C1=CC(=CC=C1CC=O)O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+]	C1=CC(=CC=C1CCO)O.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>C1=CC(=CC=C1CC=O)O.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+]	True	True	True	False	False
R04538	(E)-2-(2-furyl)-3-(5-nitro-2-furyl)acrylamide cis-trans-isomerase	C04621 <=> C04622	5.2.1.6	(E)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide <=> (Z)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide	RC01175  C04621_C04622	C1=COC(=C1)C(=CC2=CC=C(O2)[N+](=O)[O-])C(=O)N>>C1=COC(=C1)C(=CC2=CC=C(O2)[N+](=O)[O-])C(=O)N	C1=COC(=C1)/C(=C\C2=CC=C(O2)[N+](=O)[O-])/C(=O)N>>C1=COC(=C1)/C(=C/C2=CC=C(O2)[N+](=O)[O-])/C(=O)N	True	True	True	True	False
R02576	phenylacetyl-CoA:L-glutamine alpha-N-phenylacetyltransferase	C00582 + C00064 <=> C00010 + C04148	2.3.1.14	Phenylacetyl-CoA + L-Glutamine <=> CoA + Phenylacetylglutamine	RC00004  C00010_C00582	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC4=CC=CC=C4)O.C(CC(=O)N)C(C(=O)O)N>>CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCS)O.C1=CC=C(C=C1)CC(=O)NC(CCC(=O)N)C(=O)O	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC4=CC=CC=C4)O.C(CC(=O)N)[C@@H](C(=O)O)N>>CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O.C1=CC=C(C=C1)CC(=O)N[C@@H](CCC(=O)N)C(=O)O	True	True	True	True	False
R01003	dolichyl-phosphate phosphohydrolase	C00110 + C00001 <=> C00381 + C00009	3.1.3.51	Dolichyl phosphate + H2O <=> Dolichol + Orthophosphate	RC00017  C00110_C00381	CC(CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)CCOP(=O)(O)O.O>>CC(CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)CCO.OP(=O)(O)O	CC(CC/C=C(/C)\CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)CCOP(=O)(O)O.O>>CC(CC/C=C(/C)\CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)CCO.OP(=O)(O)O	True	True	True	True	False
R02908	5-hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing)	C00780 + C00001 + C00007 <=> C05634 + C00014 + C00027	1.4.3.4	Serotonin + H2O + Oxygen <=> 5-Hydroxyindoleacetaldehyde + Ammonia + Hydrogen peroxide	RC00062  C00780_C05634	C1=CC2=C(C=C1O)C(=CN2)CCN.O.O=O>>C1=CC2=C(C=C1O)C(=CN2)CC=O.N.OO	C1=CC2=C(C=C1O)C(=CN2)CCN.O.O=O>>C1=CC2=C(C=C1O)C(=CN2)CC=O.N.OO	True	True	True	True	False
R12692	L-kynurenine:glyoxylate aminotransferase (cyclizing)	C00328 + C00048 <=> C01717 + C00037 + C00001	2.6.1.63	L-Kynurenine + Glyoxylate <=> 4-Hydroxy-2-quinolinecarboxylic acid + Glycine + H2O		C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N.C(=O)C(=O)O>>C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O.C(C(=O)O)N.O	C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N.C(=O)C(=O)O>>C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O.C(C(=O)O)N.O	True	True	True	True	False
R13322		C01494 + C00001 <=> C22892	4.1.2.65	Ferulate + H2O <=> 3-Hydroxy-3-(4-hydroxy-3-methoxyphenyl)propanoate		COC1=C(C=CC(=C1)C=CC(=O)O)O.O>>COC1=C(C=CC(=C1)C(CC(=O)O)O)O	COC1=C(C=CC(=C1)/C=C/C(=O)O)O.O>>COC1=C(C=CC(=C1)C(CC(=O)O)O)O	True	True	True	True	False
R03545		C01412 + C00005 + C00080 <=> C06142 + C00006	1.1.1.-	Butanal + NADPH + H+ <=> 1-Butanol + NADP+	RC00001  C00005_C00006	CCCC=O.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.[H+]>>CCCCO.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	CCCC=O.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.[H+]>>CCCCO.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	True	True	True	False	False
R01778	(3S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase	C00640 + C00003 <=> C00264 + C00004 + C00080	1.1.1.35|1.1.1.211	(3S)-3-Hydroxyacyl-CoA + NAD+ <=> 3-Oxoacyl-CoA + NADH + H+	RC00001  C00003_C00004	*[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N3C=Nc2c(N)ncnc23.C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>*C(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N3C=Nc2c(N)ncnc23.C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+]	*[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N>>*C(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+]	False	True	True	False	True
