reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R02410(r)/3.2.1A2(rev)/3.2.1.26;	1478/3.2.1A1;	0.393499	0.181818	0.275362	0.40404	0.488722	0.522727	0.447154	0.390572	0.319444
R03491(r)/3.2.1A1/3.2.1.18;	1478/3.2.1A1;	0.384285	0.181818	0.275362	0.444444	0.544118	0.5	0.422939	0.367978	0.306452
R04019/3.2.1A2/3.2.1.22;	1478/3.2.1A1;	0.383764	0.181818	0.264706	0.4	0.496	0.5	0.442982	0.379061	0.307229
R04019/3.2.1A1/3.2.1.22;	1478/3.2.1A1;	0.383764	0.181818	0.264706	0.4	0.496	0.5	0.442982	0.379061	0.307229
R03355/3.2.1A1/3.2.1.23;	1478/3.2.1A1;	0.383764	0.181818	0.264706	0.4	0.496	0.5	0.442982	0.379061	0.307229
R03355/3.2.1A2/3.2.1.23;	1478/3.2.1A1;	0.383764	0.181818	0.264706	0.4	0.496	0.5	0.442982	0.379061	0.307229
R04184/3.2.1A1(rev)/3.2.1.52;	1478/3.2.1A1;	0.383171	0.181818	0.264706	0.414894	0.524194	0.53012	0.433333	0.361842	0.305851
R04184/3.2.1A2(rev)/3.2.1.52;	1478/3.2.1A1;	0.383171	0.181818	0.264706	0.414894	0.524194	0.53012	0.433333	0.361842	0.305851
R05166(r)/3.2.1A1(rev)/3.2.1.140;	1478/3.2.1A1;	0.382295	0.181818	0.264706	0.414894	0.524194	0.535714	0.445783	0.373089	0.293706
R05166(r)/3.2.1A2(rev)/3.2.1.140;	1478/3.2.1A1;	0.382295	0.181818	0.264706	0.414894	0.524194	0.535714	0.445783	0.373089	0.293706
R05117/3.2.1A1/3.2.1.18;	1478/3.2.1A1;	0.382119	0.181818	0.275362	0.444444	0.544118	0.5	0.422939	0.364146	0.302059
R04650(r)/3.2.1A1/3.2.1.18;	1478/3.2.1A1;	0.382119	0.181818	0.275362	0.444444	0.544118	0.5	0.422939	0.364146	0.302059
R04503(r)/3.2.1A1(rev)/3.2.1.107;	1478/3.2.1A1;	0.379038	0.181818	0.264706	0.385417	0.472441	0.54321	0.489083	0.377163	0.258427
R04503(r)/3.2.1A2(rev)/3.2.1.107;	1478/3.2.1A1;	0.379038	0.181818	0.264706	0.385417	0.472441	0.54321	0.489083	0.377163	0.258427
R04018(r)/3.2.1A1/3.2.1.18;	1478/3.2.1A1;	0.377009	0.181818	0.275362	0.444444	0.544118	0.5	0.420863	0.356941	0.288056
R02410/3.2.1A2/3.2.1.26;	1478/3.2.1A1;	0.375427	0.181818	0.275362	0.40404	0.477612	0.497207	0.424	0.354098	0.30854
R02410/3.2.1A1/3.2.1.26;	1478/3.2.1A1;	0.375427	0.181818	0.275362	0.40404	0.477612	0.497207	0.424	0.354098	0.30854
R04503/3.2.1A1/3.2.1.107;	1478/3.2.1A1;	0.373124	0.181818	0.264706	0.385417	0.472441	0.515152	0.457265	0.367698	0.272727
R04503/3.2.1A2/3.2.1.107;	1478/3.2.1A1;	0.373124	0.181818	0.264706	0.385417	0.472441	0.515152	0.457265	0.367698	0.272727
R04633(r)/3.2.1A1(rev)/3.2.1.23;	1478/3.2.1A1;	0.37274	0.181818	0.264706	0.414894	0.5	0.511905	0.433333	0.348684	0.290323
R04633(r)/3.2.1A2(rev)/3.2.1.23;	1478/3.2.1A1;	0.37274	0.181818	0.264706	0.414894	0.5	0.511905	0.433333	0.348684	0.290323
R05112(r)/3.2.1A2(rev)/3.2.1.23;	1478/3.2.1A1;	0.372303	0.181818	0.264706	0.414894	0.5	0.511905	0.433333	0.348684	0.28841
R05112(r)/3.2.1A1(rev)/3.2.1.23;	1478/3.2.1A1;	0.372303	0.181818	0.264706	0.414894	0.5	0.511905	0.433333	0.348684	0.28841
R05115(r)/3.2.1A1/3.2.1.18;	1478/3.2.1A1;	0.36633	0.181818	0.275362	0.438776	0.530303	0.5	0.413534	0.342939	0.275701
R04183(r)/3.2.1A2/3.2.1.49;	1478/3.2.1A1;	0.366	0.181818	0.264706	0.4	0.492188	0.505747	0.422311	0.347962	0.283208
R04183(r)/3.2.1A1/3.2.1.49;	1478/3.2.1A1;	0.366	0.181818	0.264706	0.4	0.492188	0.505747	0.422311	0.347962	0.283208
R04183/3.2.1A2(rev)/3.2.1.49;	1478/3.2.1A1;	0.366	0.181818	0.264706	0.4	0.492188	0.497143	0.416667	0.34375	0.292929
