method,ec_class,class_mcc,overall_mcc,overall_precision,overall_recall,coverage,total_support,mcc_class,mcc_subclass,mcc_subsubclass,mcc_full
SIMMER,1,0.610612476153513,0.6851262274631471,0.6752345725143033,0.7270854788877446,0.9510433386837881,3884,0.8144871264755527,0.7349118831904277,0.6851262274631471,0.0
SIMMER,2,0.7943561261100871,0.6851262274631471,0.6752345725143033,0.7270854788877446,0.9510433386837881,3884,0.8144871264755527,0.7349118831904277,0.6851262274631471,0.0
SIMMER,3,0.6960131448155302,0.6851262274631471,0.6752345725143033,0.7270854788877446,0.9510433386837881,3884,0.8144871264755527,0.7349118831904277,0.6851262274631471,0.0
SIMMER,4,0.682960615639941,0.6851262274631471,0.6752345725143033,0.7270854788877446,0.9510433386837881,3884,0.8144871264755527,0.7349118831904277,0.6851262274631471,0.0
SIMMER,5,0.5818107106163469,0.6851262274631471,0.6752345725143033,0.7270854788877446,0.9510433386837881,3884,0.8144871264755527,0.7349118831904277,0.6851262274631471,0.0
SIMMER,6,0.7186277339552138,0.6851262274631471,0.6752345725143033,0.7270854788877446,0.9510433386837881,3884,0.8144871264755527,0.7349118831904277,0.6851262274631471,0.0
SIMMER,7,0.141250912005217,0.6851262274631471,0.6752345725143033,0.7270854788877446,0.9510433386837881,3884,0.8144871264755527,0.7349118831904277,0.6851262274631471,0.0
SelenzymeRF,1,0.6612911378492539,0.6847791016376911,0.703557464705553,0.6961894953656025,0.9962546816479401,3884,0.8072736246262191,0.7387079578180716,0.6847791016376911,0.44670106427906325
SelenzymeRF,2,0.8268663649259744,0.6847791016376911,0.703557464705553,0.6961894953656025,0.9962546816479401,3884,0.8072736246262191,0.7387079578180716,0.6847791016376911,0.44670106427906325
SelenzymeRF,3,0.5619387145757755,0.6847791016376911,0.703557464705553,0.6961894953656025,0.9962546816479401,3884,0.8072736246262191,0.7387079578180716,0.6847791016376911,0.44670106427906325
SelenzymeRF,4,0.6509084519175817,0.6847791016376911,0.703557464705553,0.6961894953656025,0.9962546816479401,3884,0.8072736246262191,0.7387079578180716,0.6847791016376911,0.44670106427906325
SelenzymeRF,5,0.5617736886857646,0.6847791016376911,0.703557464705553,0.6961894953656025,0.9962546816479401,3884,0.8072736246262191,0.7387079578180716,0.6847791016376911,0.44670106427906325
SelenzymeRF,6,0.5972630391383456,0.6847791016376911,0.703557464705553,0.6961894953656025,0.9962546816479401,3884,0.8072736246262191,0.7387079578180716,0.6847791016376911,0.44670106427906325
SelenzymeRF,7,0.0,0.6847791016376911,0.703557464705553,0.6961894953656025,0.9962546816479401,3884,0.8072736246262191,0.7387079578180716,0.6847791016376911,0.44670106427906325
Theia,1,0.8290173112419392,0.8334545497530159,0.8551597259777954,0.8236354273944387,0.9959871589085072,3884,0.9306478662681011,0.8851331349921296,0.833454549753016,0.0
Theia,2,0.8804146007541288,0.8334545497530159,0.8551597259777954,0.8236354273944387,0.9959871589085072,3884,0.9306478662681011,0.8851331349921296,0.833454549753016,0.0
Theia,3,0.8152346339101446,0.8334545497530159,0.8551597259777954,0.8236354273944387,0.9959871589085072,3884,0.9306478662681011,0.8851331349921296,0.833454549753016,0.0
Theia,4,0.7326460969940916,0.8334545497530159,0.8551597259777954,0.8236354273944387,0.9959871589085072,3884,0.9306478662681011,0.8851331349921296,0.833454549753016,0.0
Theia,5,0.7659437062910842,0.8334545497530159,0.8551597259777954,0.8236354273944387,0.9959871589085072,3884,0.9306478662681011,0.8851331349921296,0.833454549753016,0.0
Theia,6,0.8596289527551544,0.8334545497530159,0.8551597259777954,0.8236354273944387,0.9959871589085072,3884,0.9306478662681011,0.8851331349921296,0.833454549753016,0.0
Theia,7,0.0,0.8334545497530159,0.8551597259777954,0.8236354273944387,0.9959871589085072,3884,0.9306478662681011,0.8851331349921296,0.833454549753016,0.0
BEC-Pred,1,0.7772629790198371,0.8007309623115012,0.8163001046924766,0.7978887744593203,0.9989299090422686,3884,0.9259743126314961,0.8579916304418759,0.8007309623115012,0.0
BEC-Pred,2,0.889767667742374,0.8007309623115012,0.8163001046924766,0.7978887744593203,0.9989299090422686,3884,0.9259743126314961,0.8579916304418759,0.8007309623115012,0.0
BEC-Pred,3,0.7873075951971695,0.8007309623115012,0.8163001046924766,0.7978887744593203,0.9989299090422686,3884,0.9259743126314961,0.8579916304418759,0.8007309623115012,0.0
BEC-Pred,4,0.7246666960108041,0.8007309623115012,0.8163001046924766,0.7978887744593203,0.9989299090422686,3884,0.9259743126314961,0.8579916304418759,0.8007309623115012,0.0
BEC-Pred,5,0.5931549849591552,0.8007309623115012,0.8163001046924766,0.7978887744593203,0.9989299090422686,3884,0.9259743126314961,0.8579916304418759,0.8007309623115012,0.0
BEC-Pred,6,0.7238063550865046,0.8007309623115012,0.8163001046924766,0.7978887744593203,0.9989299090422686,3884,0.9259743126314961,0.8579916304418759,0.8007309623115012,0.0
BEC-Pred,7,0.1544747886547424,0.8007309623115012,0.8163001046924766,0.7978887744593203,0.9989299090422686,3884,0.9259743126314961,0.8579916304418759,0.8007309623115012,0.0
CLAIRE,1,0.40782430285784943,0.46549709874172646,0.5331889912388333,0.44490216271884653,0.9943820224719101,3884,0.6791302553143215,0.5412765164836835,0.4654970987417265,0.0
CLAIRE,2,0.5995475038475709,0.46549709874172646,0.5331889912388333,0.44490216271884653,0.9943820224719101,3884,0.6791302553143215,0.5412765164836835,0.4654970987417265,0.0
CLAIRE,3,0.3541772847355107,0.46549709874172646,0.5331889912388333,0.44490216271884653,0.9943820224719101,3884,0.6791302553143215,0.5412765164836835,0.4654970987417265,0.0
