MASTER_ID	LR_ID	EC_NUMBERS
56560	56561	2.4.1.186
56784	56785	3.4.19.9
57036	57037	2.4.1.125
57104	57105	4.2.2.9
57700	57701	2.1.1.350
57820	57821	2.7.4.33
59092	59093	2.4.1.372
61620	61621	2.4.1.374
62388	62389	3.2.1.214
62440	62441	4.2.2.27
63936	63937	1.3.5.3
65972	65973	7.4.2.14
66924	66925	2.3.1.304
67632	67633	7.1.1.10
69208	69209	6.3.2.61
69212	69213	6.3.2.62
71663	71664	7.1.1.12
75711	75712	1.3.5.1
77251	77252	2.4.1.393
77299	77300	1.17.5.2
77335	77336	2.4.1.393
78691	78692	2.4.1.391
80719	80720	1.1.1.441
80723	80724	1.1.1.441
80727	80728	1.3.1.94
80731	80732	1.1.1.441
80735	80736	1.1.1.441
81179	81180	4.1.1.130
81183	81184	1.14.15.46
81195	81196	1.14.15.45
81211	81212	1.14.13.253
81671	81672	1.97.1.15
81679	81680	1.97.1.15
81687	81688	1.97.1.15
84435	84436	1.8.98.8
