EC	enrich_score	p_val	where
1	0.6479891549932218	0.000999000999000999	1986
1.7	0.045454545454545456	0.000999000999000999	1
1.3	0.004672897196261682	0.005994005994005994	10
1.1	0.05672823218997362	0.000999000999000999	1586
1.7.1	0.058823529411764705	0.000999000999000999	1
1.3.1	0.0056179775280898875	0.000999000999000999	10
1.1.1	0.06099290780141844	0.000999000999000999	1586
