method,mcc_mean,mcc_std,ppv_mean,ppv_std,recall_mean,recall_std
BEC-Pred,0.7999178147854377,0.0068141745857991974,0.8173972445154606,0.006856093458014932,0.7973774658104275,0.006501608758928393
SIMMER,0.6881104302135563,0.006848045924224535,0.6827547868071544,0.007208314827054478,0.7281990607410072,0.007243829094117891
SelenzymeRF,0.6860793861074931,0.0073619113465712115,0.7076677980064663,0.007616329592657237,0.6981107218376879,0.007179940228991637
Theia,0.8318788537737383,0.005059292907453156,0.8556812442957712,0.005609356792590756,0.8226251380998649,0.0051954153768653125
