reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R07761(r)/1.3.1A2/1.3.1.38,1.3.1.93;	5-fu/1.3.1A1;	0.657817	1	0.642857	0.52	0.512821	0.568627	0.630769	0.712121	0.788732
R04753/1.3.1A2/1.3.1.38,1.3.1.8;	5-fu/1.3.1A1;	0.657817	1	0.642857	0.52	0.512821	0.568627	0.630769	0.712121	0.788732
R01278/1.3.1A2/1.3.1.38,1.3.1.8;	5-fu/1.3.1A1;	0.657817	1	0.642857	0.52	0.512821	0.568627	0.630769	0.712121	0.788732
R05311/1.3.1A1/1.3.1.62;	5-fu/1.3.1A1;	0.657817	1	0.642857	0.52	0.512821	0.568627	0.621212	0.712121	0.8
R08105/1.3.1A1/;	5-fu/1.3.1A1;	0.63901	0.777778	0.470588	0.423729	0.422222	0.527273	0.594203	0.770492	0.965517
R04088/1.3.1A1/1.3.1.19;	5-fu/1.3.1A1;	0.632948	0.777778	0.444444	0.387097	0.413043	0.527273	0.61194	0.770492	0.949153
R06857/1.3.1A1/1.3.1.19;	5-fu/1.3.1A1;	0.632948	0.777778	0.444444	0.387097	0.413043	0.527273	0.61194	0.770492	0.949153
R02252/1.3.1A1/1.3.1.31;	5-fu/1.3.1A1;	0.623229	0.777778	0.5	0.438596	0.448276	0.517857	0.577465	0.734375	0.861538
R02252/1.3.1A1/1.3.1.31;	5-fu/1.3.1A1;	0.623229	0.777778	0.5	0.438596	0.448276	0.517857	0.577465	0.734375	0.861538
R00813/1.3.1A5/1.3.1.25;	5-fu/1.3.1A1;	0.621849	0.615385	0.461538	0.390625	0.414894	0.517857	0.602941	0.770492	0.92562
R06417(r)/1.3.1A2/1.3.1.82;	5-fu/1.3.1A1;	0.62117	1	0.6	0.464286	0.444444	0.491525	0.561644	0.681159	0.903226
R03930/1.3.1A2/1.3.1.17;	5-fu/1.3.1A1;	0.619551	1	0.769231	0.666667	0.571429	0.520661	0.545455	0.618421	0.717949
R06419,R06420(r)/1.3.1A2/1.3.1.81;	5-fu/1.3.1A1;	0.612637	1	0.5625	0.448276	0.434783	0.47541	0.561644	0.681159	0.903226
R05354/1.3.1A1/1.3.1.19;	5-fu/1.3.1A1;	0.608333	0.777778	0.444444	0.375	0.395833	0.5	0.585714	0.746032	0.903226
R05313/1.3.1A1/1.3.1.66;	5-fu/1.3.1A1;	0.608333	0.777778	0.444444	0.375	0.395833	0.5	0.585714	0.746032	0.903226
R05397/1.3.1A1/;	5-fu/1.3.1A1;	0.606648	0.777778	0.444444	0.375	0.387755	0.5	0.577465	0.734375	0.933333
R10075/1.3.1A2/1.3.1.92;	5-fu/1.3.1A1;	0.605978	1	0.692308	0.541667	0.5	0.537037	0.561644	0.61039	0.708861
R08112/1.3.1A5/1.3.1.25;	5-fu/1.3.1A1;	0.602685	0.615385	0.512821	0.430769	0.397959	0.487395	0.561644	0.728682	0.910569
R03709/1.3.1A1/1.3.1.11;	5-fu/1.3.1A1;	0.601093	0.777778	0.5	0.423729	0.428571	0.5	0.554054	0.691176	0.848485
R03191/1.3.1A1/1.3.1.98;	5-fu/1.3.1A1;	0.596257	1	0.642857	0.52	0.512821	0.557692	0.569444	0.602564	0.651163
R03192/1.3.1A2/1.3.1.98;	5-fu/1.3.1A1;	0.596257	1	0.642857	0.52	0.512821	0.557692	0.569444	0.602564	0.651163
R05243/1.3.1A7/;	5-fu/1.3.1A1;	0.596206	0.571429	0.4	0.363636	0.395833	0.5	0.561644	0.734375	0.949153
R05243/1.3.1A7/;	5-fu/1.3.1A1;	0.596206	0.571429	0.4	0.363636	0.395833	0.5	0.561644	0.734375	0.949153
R03709/1.3.1A1/1.3.1.11;	5-fu/1.3.1A1;	0.594595	0.777778	0.470588	0.409836	0.419355	0.491525	0.554054	0.691176	0.848485
R05314/1.3.1A5/1.3.1.68;	5-fu/1.3.1A1;	0.593583	0.615385	0.439024	0.367647	0.386139	0.483333	0.585714	0.734375	0.903226
R05309/1.3.1A5/;	5-fu/1.3.1A1;	0.592	0.615385	0.439024	0.367647	0.39	0.487395	0.577465	0.728682	0.896
R05293/1.3.1A6/1.3.1.67;	5-fu/1.3.1A1;	0.592	0.615385	0.439024	0.367647	0.397959	0.491525	0.561644	0.712121	0.92562
R05292/1.3.1A5/1.3.1.67;	5-fu/1.3.1A1;	0.592	0.615385	0.439024	0.367647	0.397959	0.491525	0.561644	0.712121	0.92562
R03401/1.3.1A2/1.3.1.42;	5-fu/1.3.1A1;	0.589947	1	0.642857	0.481481	0.444444	0.47541	0.554054	0.643836	0.736842
