reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R02387(r)/2.3.1D3(rev)/2.3.1.5;	5-asa (mesalazine)/2.3.1D3;	0.335664	1	0.75	0.538462	0.466667	0.347826	0.338983	0.12	0.0425532
R02387/2.3.1D3/2.3.1.5;	5-asa (mesalazine)/2.3.1D3(rev);	0.335664	1	0.75	0.538462	0.466667	0.347826	0.338983	0.12	0.0425532
R04050/2.3.1F1/2.3.1.114;	5-asa (mesalazine)/2.3.1D3;	0.333333	1	0.875	0.483871	0.380952	0.301587	0.269231	0.19697	0.2
R04050/2.3.1F1/2.3.1.114;	5-asa (mesalazine)/2.3.1D3;	0.333333	1	0.875	0.517241	0.380952	0.292308	0.269231	0.19697	0.2
R10473/2.3.1F1/2.3.1.224;	5-asa (mesalazine)/2.3.1D3;	0.330033	0.714286	0.578947	0.354839	0.382353	0.361702	0.360656	0.176471	0.152174
R10473/2.3.1F1/2.3.1.224;	5-asa (mesalazine)/2.3.1D3;	0.330033	0.714286	0.578947	0.354839	0.382353	0.361702	0.360656	0.176471	0.152174
R01944/2.3.1D3/2.3.1.138;	5-asa (mesalazine)/2.3.1D3;	0.313609	1	1	0.652174	0.451613	0.26	0.2	0.19697	0.152778
R09256/2.3.1D3/;	5-asa (mesalazine)/2.3.1D3;	0.311178	1	1	0.652174	0.451613	0.26	0.188406	0.184615	0.149254
R08036(r)/2.3.1F1(rev)/2.3.1.5;	5-asa (mesalazine)/2.3.1D3(rev);	0.311054	1	0.875	0.62963	0.575758	0.28125	0.224719	0.168831	0.112676
R08036(r)/2.3.1F1(rev)/2.3.1.5;	5-asa (mesalazine)/2.3.1D3(rev);	0.311054	1	0.875	0.62963	0.513514	0.28125	0.235294	0.168831	0.112676
R09257/2.3.1D3/;	5-asa (mesalazine)/2.3.1D3;	0.309942	1	1	0.652174	0.451613	0.26	0.2	0.191176	0.148649
R04050(r)/2.3.1F1(rev)/2.3.1.114;	5-asa (mesalazine)/2.3.1D3(rev);	0.304582	1	0.875	0.586207	0.414634	0.261538	0.222222	0.144928	0.137931
R04050(r)/2.3.1F1(rev)/2.3.1.114;	5-asa (mesalazine)/2.3.1D3(rev);	0.304582	1	0.875	0.62963	0.414634	0.253731	0.222222	0.144928	0.137931
R02452(r)/2.3.1F1(rev)/2.3.1.71;	5-asa (mesalazine)/2.3.1D3(rev);	0.303681	1	0.666667	0.448276	0.342857	0.24	0.208955	0.220339	0.196429
R01617/2.3.1D3/2.3.1.64;	5-asa (mesalazine)/2.3.1D3;	0.299419	1	1	0.652174	0.451613	0.26	0.183099	0.169014	0.138889
R08036/2.3.1D4/2.3.1.5;	5-asa (mesalazine)/2.3.1D3;	0.298969	0.666667	0.6	0.416667	0.384615	0.272727	0.222222	0.236364	0.211538
R08036/2.3.1D4/2.3.1.5;	5-asa (mesalazine)/2.3.1D3;	0.298969	0.666667	0.6	0.416667	0.384615	0.272727	0.222222	0.236364	0.211538
R09255/2.3.1D3/2.3.1.64;	5-asa (mesalazine)/2.3.1D3;	0.298592	1	1	0.652174	0.451613	0.26	0.194444	0.175676	0.139241
R03760(r)/2.3.1D3(rev)/2.3.1.87;	5-asa (mesalazine)/2.3.1D3(rev);	0.297071	1	0.857143	0.545455	0.32	0.184211	0.134615	0.15	0.194444
R03760/2.3.1D3/2.3.1.87;	5-asa (mesalazine)/2.3.1D3;	0.297071	1	0.857143	0.545455	0.32	0.184211	0.134615	0.15	0.194444
R02453/2.3.1D4/2.3.1.144;	5-asa (mesalazine)/2.3.1D3;	0.294278	0.666667	0.6	0.461538	0.351351	0.280702	0.24	0.25	0.191781
R02453/2.3.1D4/2.3.1.144;	5-asa (mesalazine)/2.3.1D3;	0.294278	0.666667	0.6	0.461538	0.351351	0.280702	0.24	0.25	0.191781
R01944(r)/2.3.1F1(rev)/2.3.1.138;	5-asa (mesalazine)/2.3.1D3(rev);	0.294118	1	0.75	0.52	0.34375	0.229167	0.181818	0.224138	0.166667
R09257(r)/2.3.1F1(rev)/;	5-asa (mesalazine)/2.3.1D3(rev);	0.292308	1	0.75	0.52	0.34375	0.229167	0.181818	0.224138	0.161765
R00989(r)/2.3.1D3(rev)/2.3.1.113;	5-asa (mesalazine)/2.3.1D3;	0.292105	1	0.666667	0.411765	0.333333	0.296875	0.315068	0.147059	0.0909091
R00989/2.3.1D3/2.3.1.113;	5-asa (mesalazine)/2.3.1D3(rev);	0.292105	1	0.666667	0.411765	0.333333	0.296875	0.315068	0.147059	0.0909091
R09528(r)/2.3.1F1(rev)/2.3.1.196;	5-asa (mesalazine)/2.3.1D3(rev);	0.288608	0.714286	0.578947	0.352941	0.311111	0.311475	0.320513	0.162162	0.157143
R09528(r)/2.3.1F1(rev)/2.3.1.196;	5-asa (mesalazine)/2.3.1D3(rev);	0.288608	0.714286	0.578947	0.352941	0.311111	0.311475	0.320513	0.162162	0.157143
R09256(r)/2.3.1F1(rev)/;	5-asa (mesalazine)/2.3.1D3(rev);	0.2875	1	0.75	0.52	0.34375	0.229167	0.181818	0.189655	0.15873
R09256(r)/2.3.1F1(rev)/;	5-asa (mesalazine)/2.3.1D3(rev);	0.2875	1	0.75	0.52	0.34375	0.229167	0.181818	0.189655	0.15873
R03994/2.3.1D3/2.3.1.145;	5-asa (mesalazine)/2.3.1D3;	0.284123	1	0.875	0.535714	0.3	0.20339	0.181818	0.196721	0.166667
R03994/2.3.1D3/2.3.1.145;	5-asa (mesalazine)/2.3.1D3;	0.284123	1	0.875	0.535714	0.3	0.20339	0.181818	0.196721	0.166667
R03760(r)/2.3.1F1(rev)/2.3.1.87;	5-asa (mesalazine)/2.3.1D3(rev);	0.283951	1	0.75	0.478261	0.32	0.153846	0.134615	0.15	0.194444
