reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R02387(r)/2.3.1D3(rev)/2.3.1.5;	4-asa/2.3.1D3;	0.338028	1	0.75	0.538462	0.466667	0.380952	0.338983	0.107143	0.0465116
R02387(r)/2.3.1D3(rev)/2.3.1.5;	4-asa/2.3.1D3;	0.338028	1	0.75	0.538462	0.466667	0.380952	0.338983	0.107143	0.0465116
R02387/2.3.1D3/2.3.1.5;	4-asa/2.3.1D3(rev);	0.338028	1	0.75	0.538462	0.466667	0.380952	0.338983	0.107143	0.0465116
R10473/2.3.1F1/2.3.1.224;	4-asa/2.3.1D3;	0.332226	0.714286	0.578947	0.354839	0.382353	0.395349	0.360656	0.157895	0.166667
R10473/2.3.1F1/2.3.1.224;	4-asa/2.3.1D3;	0.332226	0.714286	0.578947	0.354839	0.382353	0.395349	0.360656	0.157895	0.166667
R08036(r)/2.3.1F1(rev)/2.3.1.5;	4-asa/2.3.1D3(rev);	0.326371	1	0.875	0.62963	0.485714	0.344828	0.267442	0.156627	0.136364
R08036(r)/2.3.1F1(rev)/2.3.1.5;	4-asa/2.3.1D3(rev);	0.326371	1	0.875	0.62963	0.435897	0.344828	0.280488	0.156627	0.136364
R01944/2.3.1D3/2.3.1.138;	4-asa/2.3.1D3;	0.323353	1	1	0.652174	0.363636	0.282609	0.253731	0.197183	0.161765
R09256/2.3.1D3/;	4-asa/2.3.1D3;	0.321101	1	1	0.652174	0.363636	0.282609	0.223881	0.185714	0.177419
R09257/2.3.1D3/;	4-asa/2.3.1D3;	0.319527	1	1	0.652174	0.363636	0.282609	0.253731	0.191781	0.157143
R04050(r)/2.3.1F1(rev)/2.3.1.114;	4-asa/2.3.1D3(rev);	0.313352	1	0.875	0.62963	0.414634	0.311475	0.222222	0.133333	0.148148
R04050(r)/2.3.1F1(rev)/2.3.1.114;	4-asa/2.3.1D3(rev);	0.313352	1	0.875	0.586207	0.414634	0.322034	0.222222	0.133333	0.148148
R00989/2.3.1D3/2.3.1.113;	4-asa/2.3.1D3(rev);	0.310992	1	0.666667	0.411765	0.363636	0.362069	0.333333	0.150685	0.0967742
R00989(r)/2.3.1D3(rev)/2.3.1.113;	4-asa/2.3.1D3;	0.310992	1	0.666667	0.411765	0.363636	0.362069	0.333333	0.150685	0.0967742
R09256(r)/2.3.1F1(rev)/;	4-asa/2.3.1D3(rev);	0.309904	1	0.75	0.52	0.34375	0.27907	0.21875	0.190476	0.189655
R09256(r)/2.3.1F1(rev)/;	4-asa/2.3.1D3(rev);	0.309904	1	0.75	0.52	0.34375	0.27907	0.21875	0.190476	0.189655
R01617/2.3.1D3/2.3.1.64;	4-asa/2.3.1D3;	0.308824	1	1	0.652174	0.363636	0.282609	0.217391	0.171053	0.164179
R01944(r)/2.3.1F1(rev)/2.3.1.138;	4-asa/2.3.1D3(rev);	0.308176	1	0.75	0.52	0.34375	0.27907	0.21875	0.203125	0.177419
R09255/2.3.1D3/2.3.1.64;	4-asa/2.3.1D3;	0.307692	1	1	0.652174	0.363636	0.282609	0.246377	0.177215	0.146667
R09257(r)/2.3.1F1(rev)/;	4-asa/2.3.1D3(rev);	0.30625	1	0.75	0.52	0.34375	0.27907	0.21875	0.203125	0.171875
R01944(r)/2.3.1F1(rev)/2.3.1.138;	4-asa/2.3.1D3(rev);	0.304075	1	0.75	0.52	0.34375	0.27907	0.21875	0.184615	0.177419
R09257(r)/2.3.1F1(rev)/;	4-asa/2.3.1D3(rev);	0.302181	1	0.75	0.52	0.34375	0.27907	0.21875	0.184615	0.171875
R02452(r)/2.3.1F1(rev)/2.3.1.71;	4-asa/2.3.1D3(rev);	0.301538	1	0.666667	0.448276	0.305556	0.234043	0.227273	0.2	0.211538
R03760/2.3.1D3/2.3.1.87;	4-asa/2.3.1D3;	0.299578	1	0.857143	0.545455	0.32	0.205882	0.134615	0.130435	0.21875
R03760(r)/2.3.1D3(rev)/2.3.1.87;	4-asa/2.3.1D3(rev);	0.299578	1	0.857143	0.545455	0.32	0.205882	0.134615	0.130435	0.21875
R02453/2.3.1D4/2.3.1.144;	4-asa/2.3.1D3;	0.299451	0.666667	0.6	0.461538	0.315789	0.301887	0.273973	0.246753	0.185714
R08036(r)/2.3.1D3(rev)/2.3.1.5;	4-asa/2.3.1D3;	0.296296	1	0.75	0.538462	0.411765	0.37037	0.363636	0.116279	0.0273973
R08036(r)/2.3.1D3(rev)/2.3.1.5;	4-asa/2.3.1D3;	0.296296	1	0.75	0.538462	0.411765	0.37037	0.363636	0.116279	0.0273973
R08036/2.3.1D3/2.3.1.5;	4-asa/2.3.1D3(rev);	0.296296	1	0.75	0.538462	0.411765	0.37037	0.363636	0.116279	0.0273973
R08036/2.3.1D3/2.3.1.5;	4-asa/2.3.1D3(rev);	0.296296	1	0.75	0.538462	0.411765	0.37037	0.363636	0.116279	0.0273973
R01617(r)/2.3.1F1(rev)/2.3.1.64;	4-asa/2.3.1D3(rev);	0.292169	1	0.75	0.52	0.34375	0.266667	0.2	0.173913	0.174603
R01617(r)/2.3.1F1(rev)/2.3.1.64;	4-asa/2.3.1D3(rev);	0.292169	1	0.75	0.52	0.34375	0.266667	0.2	0.173913	0.174603
R00989/2.3.1D4/2.3.1.113;	4-asa/2.3.1D3;	0.291667	0.666667	0.6	0.384615	0.277778	0.26	0.238095	0.245902	0.22449
R09255(r)/2.3.1F1(rev)/2.3.1.64;	4-asa/2.3.1D3(rev);	0.289086	1	0.75	0.52	0.34375	0.266667	0.2	0.185714	0.15942
R02385/2.3.1D3/2.3.1.110;	4-asa/2.3.1D3;	0.288714	1	1	0.652174	0.342857	0.26	0.246575	0.172414	0.126437
