reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R10040(r)/3.2.1A1(rev)/3.2.1.21;	ketoprofen glucuronide/3.2.1A1(rev);	0.537109	1	0.727273	0.617021	0.609375	0.644737	0.619565	0.46	0.272727
R05549(r)/3.2.1A2(rev)/3.2.1.22;	ketoprofen glucuronide/3.2.1A1(rev);	0.52381	1	0.888889	0.74359	0.721311	0.619048	0.551402	0.425	0.269841
R05549(r)/3.2.1A1(rev)/3.2.1.22;	ketoprofen glucuronide/3.2.1A1(rev);	0.52381	1	0.888889	0.74359	0.721311	0.619048	0.551402	0.425	0.269841
R03634(r)/3.2.1A1(rev)/3.2.1.22;	ketoprofen glucuronide/3.2.1A1(rev);	0.52381	1	0.888889	0.74359	0.721311	0.619048	0.551402	0.425	0.269841
R03634(r)/3.2.1A2(rev)/3.2.1.22;	ketoprofen glucuronide/3.2.1A1(rev);	0.52381	1	0.888889	0.74359	0.721311	0.619048	0.551402	0.425	0.269841
R04470(r)/3.2.1A2(rev)/3.2.1.22;	ketoprofen glucuronide/3.2.1A1(rev);	0.52381	1	0.888889	0.74359	0.721311	0.619048	0.551402	0.425	0.269841
R04470(r)/3.2.1A1(rev)/3.2.1.22;	ketoprofen glucuronide/3.2.1A1(rev);	0.52381	1	0.888889	0.74359	0.721311	0.619048	0.551402	0.425	0.269841
R02985/3.2.1A2(rev)/3.2.1.117,3.2.1.21;	ketoprofen glucuronide/3.2.1A1(rev);	0.518325	1	0.888889	0.74359	0.721311	0.619048	0.551402	0.418033	0.261538
R02985/3.2.1A2(rev)/3.2.1.117,3.2.1.21;	ketoprofen glucuronide/3.2.1A1(rev);	0.518325	1	0.888889	0.74359	0.721311	0.619048	0.551402	0.418033	0.261538
R02985/3.2.1A1(rev)/3.2.1.117,3.2.1.21;	ketoprofen glucuronide/3.2.1A1(rev);	0.518325	1	0.888889	0.74359	0.721311	0.619048	0.551402	0.418033	0.261538
R02985/3.2.1A1(rev)/3.2.1.117,3.2.1.21;	ketoprofen glucuronide/3.2.1A1(rev);	0.518325	1	0.888889	0.74359	0.721311	0.619048	0.551402	0.418033	0.261538
R04949(r)/3.2.1A2(rev)/3.2.1.21;	ketoprofen glucuronide/3.2.1A1(rev);	0.516378	1	0.727273	0.55102	0.609375	0.644737	0.585106	0.445545	0.247525
R04949(r)/3.2.1A1(rev)/3.2.1.21;	ketoprofen glucuronide/3.2.1A1(rev);	0.516378	1	0.727273	0.55102	0.609375	0.644737	0.585106	0.445545	0.247525
R10580(r)/3.2.1A2(rev)/3.2.1.188;	ketoprofen glucuronide/3.2.1A1(rev);	0.513423	1	0.888889	0.794872	0.75	0.646341	0.540541	0.417323	0.244898
R10580(r)/3.2.1A1(rev)/3.2.1.188;	ketoprofen glucuronide/3.2.1A1(rev);	0.513423	1	0.888889	0.794872	0.75	0.646341	0.540541	0.417323	0.244898
R01103(r)/3.2.1A2(rev)/3.2.1.22;	ketoprofen glucuronide/3.2.1A1(rev);	0.512953	1	0.888889	0.74359	0.721311	0.619048	0.551402	0.41129	0.253731
R01103(r)/3.2.1A1(rev)/3.2.1.22;	ketoprofen glucuronide/3.2.1A1(rev);	0.512953	1	0.888889	0.74359	0.721311	0.619048	0.551402	0.41129	0.253731
R09645(r)/3.2.1A2(rev)/3.2.1.170;	ketoprofen glucuronide/3.2.1A1(rev);	0.495784	1	0.8	0.681818	0.692308	0.597701	0.527273	0.414634	0.227273
R09645(r)/3.2.1A1(rev)/3.2.1.170;	ketoprofen glucuronide/3.2.1A1(rev);	0.495784	1	0.8	0.681818	0.692308	0.597701	0.527273	0.414634	0.227273
R04998(r)/3.2.1A1(rev)/3.2.1.21;	ketoprofen glucuronide/3.2.1A1(rev);	0.49183	1	0.8	0.644444	0.605634	0.580645	0.508333	0.416	0.269841
R04998(r)/3.2.1A2(rev)/3.2.1.21;	ketoprofen glucuronide/3.2.1A1(rev);	0.49183	1	0.8	0.644444	0.605634	0.580645	0.508333	0.416	0.269841
R03642/3.2.1A1(rev)/3.2.1.119;	ketoprofen glucuronide/3.2.1A1(rev);	0.488201	1	0.8	0.681818	0.628571	0.602151	0.540984	0.414966	0.270588
R03642/3.2.1A2(rev)/3.2.1.119;	ketoprofen glucuronide/3.2.1A1(rev);	0.488201	1	0.8	0.681818	0.628571	0.602151	0.540984	0.414966	0.270588
R03642/3.2.1A2(rev)/3.2.1.119;	ketoprofen glucuronide/3.2.1A1(rev);	0.488201	1	0.8	0.681818	0.628571	0.602151	0.540984	0.414966	0.270588
R03642/3.2.1A1(rev)/3.2.1.119;	ketoprofen glucuronide/3.2.1A1(rev);	0.488201	1	0.8	0.681818	0.628571	0.602151	0.540984	0.414966	0.270588
R01460(r)/3.2.1A1(rev)/3.2.1.104;	ketoprofen glucuronide/3.2.1A1(rev);	0.473907	1	0.8	0.756098	0.746032	0.617021	0.488889	0.384615	0.244681
R01460(r)/3.2.1A2(rev)/3.2.1.104;	ketoprofen glucuronide/3.2.1A1(rev);	0.473907	1	0.8	0.756098	0.746032	0.617021	0.488889	0.384615	0.244681
