reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R04949(r)/3.2.1A1(rev)/3.2.1.21;	diclofenac glucuronide/3.2.1A1(rev);	0.521401	1	0.727273	0.574468	0.65	0.636364	0.572917	0.454545	0.247525
R04949(r)/3.2.1A2(rev)/3.2.1.21;	diclofenac glucuronide/3.2.1A1(rev);	0.521401	1	0.727273	0.574468	0.65	0.636364	0.572917	0.454545	0.247525
R03634(r)/3.2.1A1(rev)/3.2.1.22;	diclofenac glucuronide/3.2.1A1(rev);	0.514991	1	0.888889	0.783784	0.741379	0.611765	0.527273	0.420168	0.25
R03634(r)/3.2.1A2(rev)/3.2.1.22;	diclofenac glucuronide/3.2.1A1(rev);	0.514991	1	0.888889	0.783784	0.741379	0.611765	0.527273	0.420168	0.25
R05549(r)/3.2.1A2(rev)/3.2.1.22;	diclofenac glucuronide/3.2.1A1(rev);	0.514991	1	0.888889	0.783784	0.741379	0.611765	0.527273	0.420168	0.25
R05549(r)/3.2.1A1(rev)/3.2.1.22;	diclofenac glucuronide/3.2.1A1(rev);	0.514991	1	0.888889	0.783784	0.741379	0.611765	0.527273	0.420168	0.25
R04470(r)/3.2.1A2(rev)/3.2.1.22;	diclofenac glucuronide/3.2.1A1(rev);	0.514991	1	0.888889	0.783784	0.741379	0.611765	0.527273	0.420168	0.25
R04470(r)/3.2.1A1(rev)/3.2.1.22;	diclofenac glucuronide/3.2.1A1(rev);	0.514991	1	0.888889	0.783784	0.741379	0.611765	0.527273	0.420168	0.25
R02985/3.2.1A2(rev)/3.2.1.117,3.2.1.21;	diclofenac glucuronide/3.2.1A1(rev);	0.509599	1	0.888889	0.783784	0.741379	0.611765	0.527273	0.413223	0.242424
R02985/3.2.1A1(rev)/3.2.1.117,3.2.1.21;	diclofenac glucuronide/3.2.1A1(rev);	0.509599	1	0.888889	0.783784	0.741379	0.611765	0.527273	0.413223	0.242424
R02985/3.2.1A2(rev)/3.2.1.117,3.2.1.21;	diclofenac glucuronide/3.2.1A1(rev);	0.509599	1	0.888889	0.783784	0.741379	0.611765	0.527273	0.413223	0.242424
R02985/3.2.1A1(rev)/3.2.1.117,3.2.1.21;	diclofenac glucuronide/3.2.1A1(rev);	0.509599	1	0.888889	0.783784	0.741379	0.611765	0.527273	0.413223	0.242424
R01103(r)/3.2.1A1(rev)/3.2.1.22;	diclofenac glucuronide/3.2.1A1(rev);	0.504318	1	0.888889	0.783784	0.741379	0.611765	0.527273	0.406504	0.235294
R01103(r)/3.2.1A2(rev)/3.2.1.22;	diclofenac glucuronide/3.2.1A1(rev);	0.504318	1	0.888889	0.783784	0.741379	0.611765	0.527273	0.406504	0.235294
R04998(r)/3.2.1A2(rev)/3.2.1.21;	diclofenac glucuronide/3.2.1A1(rev);	0.495881	1	0.8	0.674419	0.641791	0.574468	0.5	0.422764	0.269841
