reaction_id	rxn	substrates_products	ec
MNXR181846	[H+].CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.CCCCCCCCCCCCCCCCCCCCCCCCCCCCCC=O.[H]O[H]	MNXM1.MNXM61353.MNXM738702>>MNXM5.MNXM87693.WATER	1.2.1.5
MNXR194279	C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O	MNXM1091114.MNXM1102072>>MNXM1091194.MNXM1102167	2.1.1.372
MNXR195066	CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].CCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1OS(=O)(=O)[O-]>>CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS	MNXM1106160.MNXM82193>>MNXM1137377.MNXM727276	2.3.1.283
MNXR117661	[O][O-].[*]O>>[*].O=O.[H]O[H]	MNXM1107906.MNXM730846>>MNXM159039.MNXM735438.WATER	1.17.3.2
MNXR151890	O=S(=O)([O-])CCO.CC1=C(CCC(=O)O)C2=N/C1=C\c1c(C)c(C(C)SC[C@H](NC([*])=O)C(=O)N[*])c3n1[Fe+]n1/c(c(C)c(CCC(=O)O)/c1=C/2)=C\C1=N/C(=C\3)C(C)=C1C(C)SC[C@H](NC([*])=O)C(=O)N[*]>>O=CCS(=O)(=O)[O-].CC1=C(CCC(=O)O)C2=N/C1=C\c1c(C)c(C(C)SC[C@H](NC([*])=O)C(=O)N[*])c3n1[Fe]n1/c(c(C)c(CCC(=O)O)/c1=C/2)=C\C1=N/C(=C\3)C(C)=C1C(C)SC[C@H](NC([*])=O)C(=O)N[*]	MNXM1630.MNXM731952>>MNXM434.MNXM731957	1.1.2.-
MNXR121709	O=S(=O)([O-])CCO.[*].O=O>>O=CCS(=O)(=O)[O-].[H]O[H]	MNXM1630.MNXM36.MNXM735438>>MNXM434.MNXM8975.WATER	1.1.1
MNXR112099	CC(C)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=C=O.[*][*][Fe+2]1([*][*])[S-2][Fe+3]([*][*])([*][*])[S-2]1>>[*][*][Fe+3]1([*][*])[S-2][Fe+3]([*][*])([*][*])[S-2]1.CC(C)CC(=O)C(=O)[O-].CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS	MNXM1104535.MNXM13.MNXM169>>MNXM178.MNXM404.MNXM727276	1.2.7.7
MNXR172567	CC(C)C(=O)C(C)C.[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.CC(C)C(O)C(C)C	MNXM116405.MNXM1.MNXM738702>>MNXM5.MNXM819725	1.1.1
MNXR176562	[H+].O=O.CSCCCCC[C@H](NO)C(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.CSCCCCC[C@@H](C(=O)[O-])N(O)O.[H]O[H]	MNXM1.MNXM735438.MNXM736769.MNXM738702>>MNXM5.MNXM736693.WATER	1.14.13.-
MNXR191789	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-].CCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[*])C([*])=O>>O=C=O.CCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[*])C([*])=O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS	MNXM1106093.MNXM8318>>MNXM13.MNXM6836.MNXM727276	2.3.1.-
MNXR172405	OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.O[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O>>O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1OC[C@@H](O)[C@H](O)[C@H]1O.[H]O[H]	MNXM1105027.MNXM146363>>MNXM819712.WATER	3.2.1.177
MNXR117980	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-].[*].CCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[*])C([*])=O>>O=C=O.C=CCCCCCCCCCCCCCCCC.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.CC(C)(COP(=O)([O-])OC[C@H](N[*])C([*])=O)[C@@H](O)C(=O)NCCC(=O)NCCS	MNXM1106093.MNXM36.MNXM97695>>MNXM13.MNXM65286.MNXM727276.MNXM740695.MNXM8975	2.3.1
MNXR163531	[H+].CC(=O)[O-].NN>>CC(=O)NN.[H]O[H]	MNXM1.MNXM26.MNXM728383>>MNXM6153.WATER	3.5.1.-
MNXR123946	[H+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](O)[C@@H](C)C(=O)[C@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H]([NH+](C)C)[C@H]3OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2C)O[C@@H](C)[C@@H]1O.O=P([O-])([O-])O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](O)[C@@H](C)C(=O)[C@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H]([NH+](C)C)[C@H]3OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2C)O[C@@H](C)[C@@H]1O.[H]O[H]	MNXM1.MNXM40333.MNXM8659.MNXM9>>MNXM3.MNXM8659.WATER	3.6.3.-|3.6.3.44|7.6.2.2
MNXR149565	CC(C)=CCC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>O=P([O-])([O-])OP(=O)([O-])O.CC1=CC[C@@H](C(C)(C)O)CC1	MNXM100.WATER>>MNXM11.MNXM734480	4.2.3.108|4.2.3.111
MNXR163512	C[N+](C)(C)[C@@H](Cc1c[nH]c(SO)n1)C(=O)[O-]>>C[N+](C)(C)[C@@H](Cc1c[nH]c(S)[nH+]1)C(=O)[O-].[H]O[H]	MNXM1100614.MNXM1102419>>MNXM732852.MNXM8975.WATER	4.4.1.36
MNXR112866	Cc1c2c(c(C)c3ccccc13)C1OC1c1ccccc1-2.[H]O[H]>>Cc1c2c(c(C)c3ccccc13)[C@H](O)[C@@H](O)c1ccccc1-2	MNXM10395.WATER>>MNXM22124	3.3.2.9
