reaction_id	rxn	substrates_products	ec
MNXR164403	O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21.Cc1cc2c(cc1C)N([*])c1[nH]c(=O)[nH]c(=O)c1N2.O=O>>Cc1cc2nc3c(=O)[n-]c(=O)nc-3n([*])c2cc1C.O=C1CC(O)(c2ccc(O)cc2)Oc2cc(O)ccc21.[H]O[H]	MNXM726076.MNXM728238.MNXM735438>>MNXM729100.MNXM819040.WATER	1.14.14.162
MNXR111489	COc1cc(-c2[o+]c3cc(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3cc2O[C@@H]2O[C@H](CO[C@@H]3O[C@@H](C)[C@H](OC(=O)/C=C/c4ccc(O)cc4)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O>>COc1cc(-c2[o+]c3cc(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3cc2O[C@@H]2O[C@H](CO[C@@H]3O[C@@H](C)[C@H](OC(=O)/C=C/c4ccc(O)cc4)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c1O	MNXM7510>>MNXM7636	2.1.1.-
MNXR172022	O=C([O-])[C@H](O)COP(=O)([O-])[O-]>>C=C(OP(=O)([O-])[O-])C(=O)[O-].[H]O[H]	MNXM727604>>MNXM73.WATER	4.2.1.11
MNXR120052	[*]CCCCCCCCCCCCC(=O)[O-].Cc1cc2c(cc1C)N([*])c1[nH]c(=O)[nH]c(=O)c1N2.O=O>>O=C([O-])[*]CO.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n([*])c2cc1C.[H]O[H]	MNXM726854.MNXM728238.MNXM735438>>MNXM729098.MNXM729100.WATER	1.14.14.80
MNXR132069	SCc1ccccc1>>[H]O[H]	MNXM129260.MNXM168532>>MNXM168533.WATER	3.4.21|3.4.21.104|3.4.21.41|3.4.21.42
MNXR112669	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]>>Cc1ccc(N)cc1[N+](=O)[O-].NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[H]O[H]	MNXM10.MNXM1.MNXM5441>>MNXM6866.MNXM8.WATER	1.7.1.-
MNXR123810	C[C@@H]1CC[C@H]2C(C(=O)[O-])=CC3[C@@H](O)C(C)(C)C[C@]312.[*][*][Fe+3]1([*][*])[S-2][Fe+3]([*][*])([*][*])[S-2]1.[H]O[H]>>[*][*][Fe+2]1([*][*])[S-2][Fe+3]([*][*])([*][*])[S-2]1.O=O.C[C@@H]1CC[C@H]2C(C(=O)[O-])=C[C@@H]3CC(C)(C)C[C@]312	MNXM1108026.MNXM178.WATER>>MNXM169.MNXM735438.MNXM7995	1.14.15.11
MNXR183645	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1.[*]c1c([*])c([*])c(C(=O)C([*])C(=O)c2c(O)cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2O)c([*])c1[*]>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1.[*]c1c([*])c([*])c(C2(O)Oc3cc(O)cc(O)c3C(=O)C2[*])c([*])c1[*]	MNXM1102128.MNXM744177>>MNXM1104702.MNXM744175	2.4.1.dc
MNXR113564	C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O.C=C[C@@](C)(/C=C/[C@H](C)CC/C=C(\C)CCC=C(C)C)CC/C=C(\C)CCC=C(C)C>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+].C=C[C@@](C)(/C=C/[C@H](C)CC/C=C(\C)CCC(C)C(=C)C)CC/C=C(\C)CCC(C)C(=C)C	MNXM1102072.MNXM730979>>MNXM1102167.MNXM1.MNXM741665	2.1.1.263
MNXR119433	COc1ccc2c(c1OC)CN(C)c1c-2ccc2cc3c(cc12)OCO3.[H+].O=O>>COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC.OO	MNXM147468.MNXM1.MNXM735438>>MNXM46264.MNXM732620	1.5.3.12
MNXR132997	[H+].OC1CCCCC1.[Cl-]>>ClC1CCCCC1.[H]O[H]	MNXM1.MNXM3002.MNXM735978>>MNXM62420.WATER	3.8.1.5
MNXR183755	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[NH3+]CCc1c[nH]cn1.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O	MNXM3.MNXM635.MNXM741173>>MNXM40333.MNXM9	6.3.2.18
MNXR119580	Nc1ccc([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1.O=C([O-])/C=C/C(=O)[O-]>>O=C([O-])C[C@H](Nc1ccc([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)cc1)C(=O)[O-]	MNXM114455.MNXM737340>>MNXM147816	4.3.2|4.3.2.-
MNXR145626	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O>>OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O.[H]O[H]	MNXM1093344.MNXM1137670>>MNXM1104130.WATER	3.2.1.20
MNXR189474	CC(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[*]>>C=C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[*]	MNXM1104531.MNXM35>>MNXM1104781.MNXM1105763	1.3.99.12
MNXR195137	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	MNXM1137462.MNXM40333>>MNXM1137463.MNXM3	2.7.11.4
MNXR149626	O=c1c([O-])c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12.Cc1cc2c(cc1C)N([*])c1[nH]c(=O)[nH]c(=O)c1N2.O=O>>O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc([O-])cc(O)c12.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n([*])c2cc1C.[H]O[H]	MNXM1672.MNXM728238.MNXM735438>>MNXM620.MNXM729100.WATER	1.14.14.82
MNXR130078	OCc1ccccn1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>[H+].O=Cc1ccccn1.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	MNXM166012.MNXM5>>MNXM1.MNXM35437.MNXM738702	1.1.1.2|1.1.1.21|1.1.1.65
MNXR117898	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].[NH4+].C[C@@H]1CC=N[C@H]1C(=O)NCCCC[C@H]([NH3+])C(=O)[O-]>>C[C@H](CC[NH3+])[C@@H]([NH3+])C(=O)NCCCC[C@H]([NH3+])C(=O)[O-].NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	MNXM10.MNXM1.MNXM729302.MNXM739964>>MNXM31058.MNXM8	1.4.1
MNXR117013	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O.[*]O[C@H]1[C@H](O)[C@@H](OS(=O)(=O)[O-])[C@H](O[*])O[C@H]1C(=O)[O-]>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O.[*]O[C@@H]1O[C@@H](C(=O)[O-])[C@@H](O[*])[C@H](O)[C@H]1O	MNXM1103458.MNXM739879>>MNXM1104555.MNXM5123	2.8.2
MNXR172633	Cc1cc(O)cc(C)c1O.OO>>COC1=CC(=O)C=C(OC)C1=O.[H]O[H]	MNXM116496.MNXM732620>>MNXM723308.WATER	1.11.1.16
MNXR183324	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-]>>CCCCCC(=O)c1c(O)cc2c(c1O)C(=O)c1c(O)cc([O-])cc1C2.O=C=O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.[H]O[H]	MNXM1106093.MNXM728621>>MNXM12483.MNXM13.MNXM727276.MNXM740696.WATER	2.3.1.221
MNXR104747	C/C(=C\Cc1cc(O)cc(C)c1O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C>>Cc1cc(O)cc2c1O[C@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)CC2	MNXM3160>>MNXM5121	5.5.1.24
MNXR149941	C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C>>C/C=C(/CC[C@@H](C)C1CCC2C3=CC=C4C[C@@H](O)CC[C@]4(C)C3CC[C@@]21C)C(C)C	MNXM737160>>MNXM738146	1.3.1.21
MNXR172226	N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O.[H+].CC(=O)[O-]>>CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO.[H]O[H]	MNXM1105684.MNXM1.MNXM26>>MNXM728393.WATER	3.5.1
MNXR165040	O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>O=C([O-])CC[C@H](NC(=O)C(O)(CC(=O)[O-])CC(=O)[O-])C(=O)[O-].[H]O[H]	MNXM1107753.MNXM741173>>MNXM736093.WATER	3.5.1.68
MNXR132906	[H+].CCOc1ccc2ccc(=O)oc2c1.O=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>O=c1ccc2ccc(O)cc2o1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.CC=O.[H]O[H]	MNXM1.MNXM39099.MNXM735438.MNXM738702>>MNXM2293.MNXM5.MNXM75.WATER	1.14.14.1
MNXR183955	C[S@@+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O	MNXM1102072.MNXM744193>>MNXM1102167.MNXM744278	2.1.1.M15
MNXR152519	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1.[H+].C/C(=C\CNc1ncnc2ncn([C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c12)CO>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1.C/C(=C/CNc1ncnc2[nH]cnc12)CO	MNXM1102128.MNXM1.MNXM731301>>MNXM1104702.MNXM733190	2.4.1|2.4.1.-
MNXR112761	CC[C@@]1(O)C[C@H](O[C@H]2C[C@H]([NH+](C)C)[C@H](O)[C@H](C)O2)c2c(cc3c(c2[O-])C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC.Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]c1=O.[H+]>>Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@@H]3C[C@H]([NH+](C)C)[C@H](O)[C@H](C)O3)O2)c(=O)[nH]c1=O.CC[C@@]1(O)C[C@H](O)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC	MNXM10561.MNXM152.MNXM1>>MNXM17438.MNXM6156	2.4.1.-|2.4.1.326
MNXR149107	CCCCCCCCCCCCCC(=O)S[*].CCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)O[C@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O)[C@@H]([C@H](O)CO)O2)[C@@H](OP(=O)([O-])[O-])[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC>>CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	MNXM728548.MNXM731017>>MNXM730505.MNXM740696	2.3.1.-
MNXR181679	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-]>>C=C[C@@]1(C)CC[C@H]2C(=CCC3[C@](C)(C=O)CCC[C@@]32C)C1.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[H]O[H]	MNXM10.MNXM1.MNXM727959>>MNXM734845.MNXM8.WATER	1.2.1.5
MNXR174235	CC(=O)[O-].[*]O[C@@H]1OC[C@@H]([*])[C@H](O)[C@H]1O.[*]O[C@@H]1OC[C@@H]([*])[C@H](O[*])[C@H]1O>>[H]O[H]	MNXM26.MNXM9242>>MNXM740612.WATER	3.1.1.72
MNXR107422	CC(=O)[O-].[NH3+]CCCCC(=O)[O-]>>CC(=O)NCCCCC(=O)[O-].[H]O[H]	MNXM26.MNXM792>>MNXM3186.WATER	3.5.1|3.5.1.-|3.5.1.63
MNXR178420	O=P([O-])([O-])O>>[H]O[H]	MNXM491569.MNXM9>>MNXM680509.WATER	3.1.3.-
MNXR113399	[NH3+]CCCC[C@H]([NH3+])C(=O)[O-].C[C@H](CC[NH3+])[C@@H]([NH3+])C(=O)[O-].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O>>C[C@H](CC[NH3+])[C@@H]([NH3+])C(=O)NCCCC[C@H]([NH3+])C(=O)[O-]	MNXM1106164.MNXM31057.MNXM3>>MNXM114234.MNXM31058	6.3.2.59
MNXR114521	C[N+](C)(C)CCOP(=O)(O)OC[C@@H](CO)OC([*])=O.CCCCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)N[C@H]1[C@@H](OP(=O)(O)O)O[C@H](CO[C@@H]2O[C@H](CO[*])[C@@H](OP(=O)(O)O)[C@H](OC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC)[C@H]2NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC>>CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)(O)O)[C@@H](CO[*])O[C@@H](OC[C@H]2O[C@H](OP(=O)(O)O)[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC.CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC([*])=O	MNXM1108088.MNXM167901>>MNXM167903.MNXM727588	2.3.1.251
MNXR111384	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=C1c2ccccc2-c2ccccc21.[H+].O=O>>O=C1c2ccccc2C2=CC=C[C@@H](O)[C@]12O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	MNXM10.MNXM1717.MNXM1.MNXM735438>>MNXM730910.MNXM8	1.14.12.-
MNXR146485	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1>>CC(=O)N[C@@H]1[C@@H](O)C[C@@](OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO	MNXM1103302.MNXM13366>>MNXM1103953.MNXM734672	2.4.99.8
MNXR102444	[H+].CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCCCCCCC.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O>>CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCCCCCCC.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H]	MNXM1.MNXM32178.MNXM40333.MNXM9>>MNXM32178.MNXM3.WATER	3.6.3.1
MNXR114678	CC(C)=CCC/C(C)=C/CC/C(C)=C/C=O.OO>>CC(C)=CCC/C(C)=C/CC/C(C)=C/CO.O=O	MNXM1959.MNXM732620>>MNXM727075.MNXM735438	1.1.3.-
MNXR181428	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.CCCCCCCCCCCCCCCCCCCCCC=O.[H+]>>CCCCCCCCCCCCCCCCCCCCCCO.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	MNXM10.MNXM17381.MNXM1>>MNXM51434.MNXM8	1.1.1.71
MNXR112587	O=C([O-])C(Cl)(Cl)Cl>>O=CC(Cl)(Cl)Cl	MNXM3108>>MNXM5313	1.1.-.-
MNXR135768	CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCCC.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	MNXM3132.MNXM3>>MNXM40333.MNXM731669	2.7.1.107
MNXR121086	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].CCC(C)(O)C(=O)O>>CCC(C)(O)C=O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.[H]O[H]	MNXM10.MNXM1.MNXM35116>>MNXM164130.MNXM8.WATER	1.2.1
MNXR112963	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.O=C(CO)[C@@H](O)[C@H](O)COP(=O)([O-])[O-].[H+]>>O=P([O-])([O-])OC[C@@H](O)[C@H](O)[C@H](O)CO.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	MNXM10.MNXM186.MNXM1>>MNXM3247.MNXM8	1.1.1.301
MNXR175307	[*]C(=O)[O-].[*][C@H]([NH3+])C(=O)[O-]>>[*]C(=O)NC([*])C(=O)[O-].[H]O[H]	MNXM496984.MNXM527727>>MNXM63609.WATER	3.5.1.14
MNXR175497	[*]C(=O)N[C@@H](CO)[C@@H]([*])O>>CCCCCCCCCCCCCCCCC/C=C/C(O)C(CO[C@@H]1O[C@H](CO)C(O)[C@H](O)[C@H]1O)NC([*])=O.[H]O[H]	MNXM1106783.MNXM3094>>MNXM740902.WATER	3.2.1.62
MNXR148371	O=C=O.O=C([O-])CCC(=O)[O-].C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@]1(C=O)CCC[C@@](C)(C(=O)[O-])[C@H]1[C@@H]3C(=O)[O-].[H]O[H]>>O=C([O-])CCC(=O)C(=O)[O-].C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@]1(CO)CCC[C@@](C)(C(=O)[O-])[C@H]1[C@@H]3C(=O)[O-].O=O	MNXM13.MNXM25.MNXM732858.WATER>>MNXM20.MNXM734158.MNXM735438	1.14.11|1.14.11.12
MNXR101743	CS(=O)(=O)[O-].[H+].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.CS.[H]O[H]	MNXM1485.MNXM1.MNXM738702>>MNXM5.MNXM652.WATER	1.8.2.2
MNXR112865	Cc1c2c(c(C)c3ccccc13)C1OC1c1ccccc1-2.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.[H]O[H]>>[H+].O=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.Cc1c2ccccc2c(C)c2c1ccc1ccccc12	MNXM10395.MNXM5.WATER>>MNXM1.MNXM735438.MNXM738702.MNXM8204	1.14.14.1
